"FEATURE","CLEAN_FEAT","APPROVALDT","ORIGIN","DIAMETER","CENTER_LON","CENTER_LAT","TYPE","CODE","APPROVAL","MIN_LON","MAX_LON","MIN_LAT","MAX_LAT","ETHNICITY","CONTINENT","QUAD_NAME","QUAD_CODE","LINK"
"Hermann D","Hermann D","2006-01-01 00:00:00","Jacob; Swiss mathematician (1678-1733).","3.1955","305.870282921952","-2.3181288355896","Satellite Feature","SF","Adopted by IAU","305.817552566528","305.923017501831","-2.37081909179688","-2.26543807983398","Switzerland","Europe","Grimaldi","LAC-74","http://planetarynames.wr.usgs.gov/Feature/9906"
"Hermann E","Hermann E","2006-01-01 00:00:00","Jacob; Swiss mathematician (1678-1733).","3.6586","307.964097354436","0.19293571497642","Satellite Feature","SF","Adopted by IAU","307.903772354126","308.024423599243","0.132608413696289","0.253263473510742","Switzerland","Europe","Hevelius","LAC-56","http://planetarynames.wr.usgs.gov/Feature/9907"
"Hermann F","Hermann F","2006-01-01 00:00:00","Jacob; Swiss mathematician (1678-1733).","4.98669","304.390092560116","1.29560365554882","Satellite Feature","SF","Adopted by IAU","304.307847976685","304.472341537476","1.21338081359863","1.37782859802246","Switzerland","Europe","Hevelius","LAC-56","http://planetarynames.wr.usgs.gov/Feature/9908"
"Hermann H","Hermann H","2006-01-01 00:00:00","Jacob; Swiss mathematician (1678-1733).","4.22622","298.069001947679","0.872054021197097","Satellite Feature","SF","Adopted by IAU","297.999307632446","298.138696670532","0.802370071411133","0.941740036010742","Switzerland","Europe","Hevelius","LAC-56","http://planetarynames.wr.usgs.gov/Feature/9909"
"Hommel E","Hommel E","2006-01-01 00:00:00","Johann; German astronomer, mathematician (1518-1562).","13.3783","31.0436846000355","-59.0986591213089","Satellite Feature","SF","Adopted by IAU","30.6138820648193","31.4734897613525","-59.3192539215088","-58.8780632019043","Germany","Europe","Hommel","LAC-127","http://planetarynames.wr.usgs.gov/Feature/10035"
"Hommel F","Hommel F","2006-01-01 00:00:00","Johann; German astronomer, mathematician (1518-1562).","18.2477","32.0349903740542","-58.5863015771615","Satellite Feature","SF","Adopted by IAU","31.4575939178467","32.6123905181885","-58.887186050415","-58.2854156494141","Germany","Europe","Hommel","LAC-127","http://planetarynames.wr.usgs.gov/Feature/10036"
"Hommel G","Hommel G","2006-01-01 00:00:00","Johann; German astronomer, mathematician (1518-1562).","30.9489","27.4043103759486","-58.10779717614","Satellite Feature","SF","Adopted by IAU","26.505220413208","28.29953956604","-58.5796642303467","-57.6357498168945","Germany","Europe","Hommel","LAC-127","http://planetarynames.wr.usgs.gov/Feature/10037"
"Hommel H","Hommel H","2006-01-01 00:00:00","Johann; German astronomer, mathematician (1518-1562).","42.8886","30.6654478601669","-52.5530254426034","Satellite Feature","SF","Adopted by IAU","29.5023174285889","31.8285732269287","-53.2602272033691","-51.8458232879639","Germany","Europe","Hommel","LAC-127","http://planetarynames.wr.usgs.gov/Feature/10038"
"Hommel HA","Hommel HA","2006-01-01 00:00:00","Johann; German astronomer, mathematician (1518-1562).","10.4263","30.5463471192368","-52.0849028009213","Satellite Feature","SF","Adopted by IAU","30.2665424346924","30.8261547088623","-52.2568206787109","-51.9129829406738","Germany","Europe","Hommel","LAC-127","http://planetarynames.wr.usgs.gov/Feature/10039"
"Hommel J","Hommel J","2006-01-01 00:00:00","Johann; German astronomer, mathematician (1518-1562).","17.629","27.8784726193108","-53.531387445889","Satellite Feature","SF","Adopted by IAU","27.3897457122803","28.3672122955322","-53.8220710754395","-53.2407035827637","Germany","Europe","Hommel","LAC-127","http://planetarynames.wr.usgs.gov/Feature/10040"
