NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ANDERS;Cratère;;William A. Anders;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronaute;Etats-Unis;américain;20;20 ème siècle;??;1933;Vivant;Vivant;Astronaute de la mission Apollo 8 en décembre 1968 avec Frank Borman et Jim Lovell.;-142,9;142,9 ° Ouest;-41,3;41,3 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-030-H1;40;40;24;24;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
ANDERSON;Cratère;;John A. Anderson;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;??;1876;??;1959;??;171,1;171,1 ° Est;15,8;15,8 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;II-034-M;109;109;64;64;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
ANDERSSON;Cratère;;Leif Erland;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;??;1943;??;1979;??;-95,3;95,3 ° Ouest;-49,7;49,7 ° Sud;Sud-Ouest;;VI;Hausen;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;13;13;8;8;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;14;Pleine Lune;6 jours après le Dernier Quartier;30;Jumelles x10;Lunette 50 mm
ANDRONOV;Cratère;;Aleksandr Aleksandrovich Andronov;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;URSS;soviétique;20;20 ème siècle;??;1901;??;1952;??;146,1;146,1 ° Est;-22,7;22,7 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;16;16;9;9;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
ANTONIADI;Cratère;;Eugène M. Antoniadi;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;France;français;20;20 ème siècle;Istanbul;1870;Meudon;1944;Etudes des surfaces planétaires (Mars et Mercure notamment) avec la lunette de 82 cm de Meudon. Opposant à la théorie des canaux martiens de Lowell.;-172;172 ° Ouest;-69,7;69,7 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;143;143;84;84;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
ANUCHIN;Cratère;;Dimitri N. Anuchin;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Géographe;URSS;soviétique;20;20 ème siècle;??;1843;??;1923;??;101,3;101,3 ° Est;-49;49 ° Sud;Sud-Est;;V;Hale;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;IV-009-H1 IV-008-M ;57;57;34;34;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;1;2 jours après la Nouvelle Lune;1 jour après la Pleine Lune;30;Jumelles x10;Lunette 50 mm
APOLLO;Cratère;;Apollo missions lunaires américaines;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Alunissages;Etats-Unis;américains;20;20 ème siècle;;1967;;1972;Dédié aux missions humaines américaines Apollo qui amenèrent 12 astronautes à la surface de la Lune.;-151,8;151,8 ° Ouest;-36,1;36,1 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;537;537;316;316;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
APPLETON;Cratère;;Sir Edward Victor Appleton;UAI 1985 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;Royaume Uni;britannique;20;20 ème siècle;Bradford;1892;Edimbourg;1965;Assistant de Rutherford. Ministre de la recherche en 1939. Etude sur l'ionosphère. Auteur du premier écho radar sur la Lune en 1946. Prix Nobel en 1947. ;158,3;158,3 ° Est;37,2;37,2 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-085-H2 V-085-M V-103-M;63;63;37;37;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
ARIOSTO;Cratère;;Ludovico Ariosto dit L'Arioste;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ecrivain;Italie;italien;16;16 ème siècle;??;1474;??;1533;??;95,6;95,6 ° Est;-3,6;3,6 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;23;23;14;14;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;1;2 jours après la Nouvelle Lune;1 jour après la Pleine Lune;30;Jumelles x10;Lunette 50 mm
ARMINSKI;Cratère;;Franciszek Arminski;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Pologne;polonais;19;19 ème siècle;??;1789;??;1848;??;154,2;154,2 ° Est;-16,4;16,4 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;II-075-M II-075-H1;26;26;15;15;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
ARRHENIUS;Cratère;;Svante A. Arrhenius;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Scientifique;Suède;suédois;20;20 ème siècle;Wijk;1859;Stockholm;1927;Recteur de l'université de Stockholm en 1897. Directeur de l'institut Nobel en 1905. Théorie de l'ionisation des électrolytes en 1887. Auteur de l'hypothèse de la panspermie en 1900 et d'une théorie cosmogonique. Prix Nobel de chimie en 1903.;-91,3;91,3 ° Ouest;-55,6;55,6 ° Sud;Sud-Ouest;;VI;Hausen;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;IV-038-H2 IV-193-H3;40;40;24;24;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;14;Pleine Lune;6 jours après le Dernier Quartier;30;Jumelles x10;Lunette 50 mm
ARTAMONOV;Cratère;;Nikolaj N. Artamonov;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;URSS;soviétique;20;20 ème siècle;??;1906;??;1965;Scientifique impliqué dans le programme de lanceurs spatiaux soviétiques.;103,5;103,5 ° Est;25,5;25,5 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;60;60;35;35;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
ARTEM'EV;Cratère;;Vladimir A. Artem'ev;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;URSS;soviétique;20;20 ème siècle;??;1885;??;1962;Scientifique impliqué dans le programme de lanceurs spatiaux soviétiques.;-144,4;144,4 ° Ouest;10,8;10,8 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-032-M;67;67;39;39;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
AVICENNA;Cratère;;Abu Ali Al Husayn Ibn Sina;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Philosophe;Iran;iranien;11;11ème siècle:;Afchana;980;Hamadhan;1037;Médecin du prince de Boukhara. Auteur du Canon de la médecine. Description de nombreuses maladies et de leur traitement. Auteur d'une cosmologie basée sur les êtres possibles et nécessaires.;-97,2;97,2 ° Ouest;39,7;39,7 ° Nord;Nord-Ouest;;VIII;Röntgen;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;74;74;44;44;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;14;Pleine Lune;6 jours après le Dernier Quartier;30;Jumelles x10;Lunette 50 mm
AVOGADRO;Cratère;;Amedeo (Conte Di Quarengna e Cerreto);UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Chimiste;Italie;italien;19;19 ème siècle;Turin;1776;Turin;1856;Professeur de physique à l'université de Turin en 1820. Découvreur du nombre d'atomes dans un atome-gramme. Auteur d'une loi sur la densité des gaz.;164,9;164,9 ° Est;63,1;63,1 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;139;139;82;82;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
BABAKIN;Cratère;;Georgij N. Babakin;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ingénieur;URSS;soviétique;20;20 ème siècle;??;1914;??;1971;Scientifique impliqué dans le programme de lanceurs spatiaux soviétiques.;123,3;123,3 ° Est;-20,8;20,8 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;20;20;12;12;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
BABCOCK;Cratère;;Harold D. Babcock;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Etats-Unis;américain;20;20 ème siècle;??;1882;??;1968;??;93,9;93,9 ° Est;4,2;4,2 ° Nord;Nord-Est;;III;Mare Marginis;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;99;99;58;58;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;1;2 jours après la Nouvelle Lune;1 jour après la Pleine Lune;30;Jumelles x10;Lunette 50 mm
BACKLUND;Cratère;;Oscar A. Backlund;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Suède;suédois;19;19 ème siècle;Karlstad;1846;Poulkovo;1916;Directeur de l'observatoire de Poulkovo en 1895. Etude de la mécanique céleste.;103;103 ° Est;-16;16 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;II-196-H3 II-196-M;75;75;44;44;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Circular formation situated in the librations zone;;;;1;Formation difficile ou peu intéressante;1;2 jours après la Nouvelle Lune;1 jour après la Pleine Lune;30;Jumelles x10;Lunette 50 mm
BALANDIN;Cratère;;A. A. Balandin;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Chimiste;URSS;soviétique;20;20 ème siècle;??;1914;??;1971;??;152,6;152,6 ° Est;-18,9;18,9 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;12;12;7;7;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
BALDET;Cratère;;Francois Baldet;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;France;français;20;20 ème siècle;??;1885;??;1964;??;-151,1;151,1 ° Ouest;-53,3;53,3 ° Sud;Sud-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-030-H1;55;55;32;32;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
BALZAC;Cratère;;Honoré de Balzac;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Ecrivain;France;français;19;19 ème siècle;??;1799;??;1850;Auteur de la Comédie humaine.;95;95 ° Est;-8;8 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;39;39;23;23;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Circular formation situated in the librations zone;;;;1;Formation difficile ou peu intéressante;1;2 jours après la Nouvelle Lune;1 jour après la Pleine Lune;30;Jumelles x10;Lunette 50 mm
BARBIER;Cratère;;Daniel Barbier;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astrophysicien;France;français;20;20 ème siècle;Lyon;1907;Manosque;1965;Etude sur la spectrophotométrie stellaire. Classification spectrale des étoiles avec D.Chalonge. Organisateur d'un réseau international de surveillance de la luminosité de l'atmosphère.;157,9;157,9 ° Est;-23,8;23,8 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;II-075-M II-075-H2;66;66;39;39;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
BARRINGER;Cratère;;Daniel M. Barringer;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Géologue;Etats-Unis;américain;20;20 ème siècle;??;1860;??;1929;Etude du Meteor Crater en Arizona. Auteur de l'origine météoritique des cratères lunaires.;-149,7;149,7 ° Ouest;-28;28 ° Nord;Nord-Ouest;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-030-H2;68;68;40;40;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
BAUDELAIRE;Cratère;;Pierre Charles Baudelaire;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Poète;France;français;19;19 ème siècle;??;1821;??;1867;;-89,8;89,8 ° Ouest;24,5;24,5 ° Nord;Nord-Ouest;;VIII;Röntgen;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;IV-188-H3 IV-196-H3;15;15;9;9;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;14;Pleine Lune;6 jours après le Dernier Quartier;30;Jumelles x10;Lunette 50 mm
BAWA;Cratère;;Bawa;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Prénom féminin;Afrique;africain;;;;;;;;123,1;123,1 ° Est;-23,2;23,2 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;10;10;6;6;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
BECQUEREL;Cratère;;Antoine H. Becquerel;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Physicien;France;français;19;19 ème siècle;Châtilon sur Loing;1788;Paris;1878;Découvreur de la piezoélectricité en 1819 et de la pile photovoltaïque en 1839. Inventeur de l'actinomètre électrochimique. ;125,2;125,2 ° Est;-1,9;1,9 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;65;65;38;38;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
BECVAR;Cratère;;Antonin Becvar;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Astronome;Tchécoslovaquie;tchécoslovaque;20;20 ème siècle;??;1901;??;1965;Auteur de plusieurs atlas célestes et stellaires.;129,7;129,7 ° Est;40,7;40,7 ° Nord;Nord-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;V-158-M V-163-M;67;67;39;39;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
BEIJERINCK;Cratère;;Martinus W. Beijerink;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Botaniste;Pays-Bas;hollandais;20;20 ème siècle;??;1851;??;1931;??;151,8;151,8 ° Est;-13,5;13,5 ° Sud;Sud-Est;;Pas de carte;;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;;70;70;41;41;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Non observable;;;;0;Non observable;0;Non observable;Non observable;999;Non observable;Non observable
BELL;Cratère;;Alexander G. Bell;UAI 1970 ?;Inconnu à l'époque;Inconnu à l'époque;Inconnu à l'époque;Inventeur;Royaume Uni;écossais;20;20 ème siècle;Edimbourg;1847;Baddeck;1922;Professeur de physiologie vocale à Boston en 1873. Inventeur du téléphone en 1876.;-96,4;96,4 ° Ouest;21,8;21,8 ° Nord;Nord-Ouest;;VIII;Röntgen;Pas de carte ou d'image;Pas de carte ou d'image;Pas de carte ou d'image;;IV-196-H3;86;86;51;51;Inconnue;Inconnue;Hauteur inconnue. Calcul impossible..;Hauteur inconnue. Dessin impossible..;Formation circulaire située dans la zone des librations.;;;;1;Formation difficile ou peu intéressante;14;Pleine Lune;6 jours après le Dernier Quartier;30;Jumelles x10;Lunette 50 mm
