NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS_FR;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
Goclenius 4;Cúpula;No determinat;Cúpula de Goclenius n° 4;ALPO 1976;;;;Metge i físic;Alemanya;alemany;16;16è segle;?;1572;?;1621;??;45.03444488;45 ° 2 '  Est;-6.488281516;6 ° 29 '  Sud;Sud-Est;Part est del Mar de la Fecunditat;48;Messier;190;3c4 / 3d4;315C/S 323C 124C 131C/S 135C/S;;IV-060-H2;24;24;39.978;14.6;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;N del cràter Goclenius;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Hemisfèrica;3;Formació molt interessant;4;4 dies després de la Lluna nova;3 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Goclenius U 1;Cúpula;No determinat;Cúpula de Goclenius U n° 1;ALPO 1976;;;;Metge i físic;Alemanya;alemany;16;16è segle;?;1572;?;1621;??;49.04770964;49 ° 3 '  Est;-9.904123685;9 ° 54 '  Sud;Sud-Est;Part est del Mar de la Fecunditat;48;Messier;190;3c4 / 3d4;315C/S 323C 124C 131C/S 135C/S;;IV-060-H2;24;24;39.978;14.6;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;O del cràter Goclenius U;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No confirmat.;3;Formació molt interessant;4;4 dies després de la Lluna nova;3 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Goclenius U 2;Cúpula;No determinat;Cúpula de Goclenius U n° 2;ALPO 1976;;;;Metge i físic;Alemanya;alemany;16;16è segle;?;1572;?;1621;??;48.34277266;48 ° 21 '  Est;-9.904123685;9 ° 54 '  Sud;Sud-Est;Part est del Mar de la Fecunditat;48;Messier;190;3c4 / 3d4;315C/S 323C 124C 131C/S 135C/S;;IV-060-H2;40.081;40.081;40.009;15.7;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;O del cràter Goclenius U;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No confirmat.;3;Formació molt interessant;4;4 dies després de la Lluna nova;3 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Goclenius U 3;Cúpula;No determinat;Cúpula de Goclenius U n° 3;ALPO 1976;;;;Metge i físic;Alemanya;alemany;16;16è segle;?;1572;?;1621;??;49.84911328;49 ° 51 '  Est;-9.439147371;9 ° 26 '  Sud;Sud-Est;Part est del Mar de la Fecunditat;48;Messier;190;3c4 / 3d4;315C/S 323C 124C 131C/S 135C/S;;IV-060-H2;16;21;40.003;12.8;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Goclenius U;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Al centre de 4 cúpules sospitoses.;3;Formació molt interessant;4;4 dies després de la Lluna nova;3 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Goclenius U 4;Cúpula;No determinat;Cúpula de Goclenius U n° 4;ALPO 1976;;;;Metge i físic;Alemanya;alemany;16;16è segle;?;1572;?;1621;??;49.64557878;49 ° 39 '  Est;-8.337279189;8 ° 20 '  Sud;Sud-Est;Part est del Mar de la Fecunditat;48;Messier;190;3c4 / 3d4;315C/S 323C 124C 131C/S 135C/S;;IV-060-H2;39.886;39.886;40.002;8.7;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;N del cràter Goclenius U;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No confirmat.;3;Formació molt interessant;4;4 dies després de la Lluna nova;3 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Grimaldi 1;Cúpula;No determinat;Cúpula de Grimaldi n° 1;ALPO 1976;;;;Astrònom i físic;Itàlia;italià;17;17è segle;Bolonya;1618;Bolonya;1663;Jesuïta. Descobridor de les interferències lluminoses i de la difracció de la llum en 1650. Autor d'una carta de la Lluna utilitzada per Riccioli en 1651.;-69.82464868;69 ° 49 '  Oest;-5.048558958;5 ° 3 '  Sud;Sud-Oest;Limbe oest de la Lluna;39;Grimaldi;226;3c4;067C 075C 080C Q3W, 233C 237C 247C;MM183;IV-161-H3 IV-167-M IV-162-M IV-168-M IV-168-H3;20;20;39.825;12.1;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Grimaldi;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No confirmat.;3;Formació molt interessant;13;6 dies després de quart creixent;5 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Grimaldi 2;Cúpula;No determinat;Cúpula de Grimaldi n° 2;ALPO 1976;;;;Astrònom i físic;Itàlia;italià;17;17è segle;Bolonya;1618;Bolonya;1663;Jesuïta. Descobridor de les interferències lluminoses i de la difracció de la llum en 1650. Autor d'una carta de la Lluna utilitzada per Riccioli en 1651.;-68.56549721;68 ° 34 '  Oest;-4.473614892;4 ° 28 '  Sud;Sud-Oest;Limbe oest de la Lluna;39;Grimaldi;226;3c4;067C 075C 080C Q3W, 233C 237C 247C;MM183;IV-161-H3 IV-167-M IV-162-M IV-168-M IV-168-H3;17;17;39.882;10.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Grimaldi;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No confirmat.;3;Formació molt interessant;13;6 dies després de quart creixent;5 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Grimaldi 3;Cúpula;No determinat;Cúpula de Grimaldi n° 3;ALPO 1976;;;;Astrònom i físic;Itàlia;italià;17;17è segle;Bolonya;1618;Bolonya;1663;Jesuïta. Descobridor de les interferències lluminoses i de la difracció de la llum en 1650. Autor d'una carta de la Lluna utilitzada per Riccioli en 1651.;-68.96406732;68 ° 58 '  Oest;-4.07142592;4 ° 4 '  Sud;Sud-Oest;Limbe oest de la Lluna;39;Grimaldi;226;3c4;067C 075C 080C Q3W, 233C 237C 247C;MM183;IV-161-H3 IV-167-M IV-162-M IV-168-M IV-168-H3;28;17;17;10.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Grimaldi;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Hemisfèrica;3;Formació molt interessant;13;6 dies després de quart creixent;5 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Grimaldi 4;Cúpula;No determinat;Cúpula de Grimaldi n° 4;ALPO 1976;;;;Astrònom i físic;Itàlia;italià;17;17è segle;Bolonya;1618;Bolonya;1663;Jesuïta. Descobridor de les interferències lluminoses i de la difracció de la llum en 1650. Autor d'una carta de la Lluna utilitzada per Riccioli en 1651.;-67.47615401;67 ° 29 '  Oest;-3.497213697;3 ° 30 '  Sud;Sud-Oest;Limbe oest de la Lluna;39;Grimaldi;226;3c4;067C 075C 080C Q3W, 233C 237C 247C;MM183;IV-161-H3 IV-167-M IV-162-M IV-168-M IV-168-H3;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Grimaldi;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No confirmat.;3;Formació molt interessant;13;6 dies després de quart creixent;5 dies després de quart minvant;999;No determinat;No determinat
Grimaldi 5;Cúpula;No determinat;Cúpula de Grimaldi n° 5;ALPO 1976;;;;Astrònom i físic;Itàlia;italià;17;17è segle;Bolonya;1618;Bolonya;1663;Jesuïta. Descobridor de les interferències lluminoses i de la difracció de la llum en 1650. Autor d'una carta de la Lluna utilitzada per Riccioli en 1651.;-65.38017557;65 ° 23 '  Oest;-2.808617877;2 ° 49 '  Sud;Sud-Oest;Limbe oest de la Lluna;39;Grimaldi;226;3c4;067C 075C 080C Q3W, 233C 237C 247C;MM183;IV-161-H3 IV-167-M IV-162-M IV-168-M IV-168-H3;7;7;39.876;4.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NE del cràter Grimaldi;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No confirmat.;3;Formació molt interessant;13;6 dies després de quart creixent;5 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Grimaldi L 1;Cúpula;No determinat;Cúpula de Grimaldi L n° 1;ALPO 1976;;;;Astrònom i físic;Itàlia;italià;17;17è segle;Bolonya;1618;Bolonya;1663;Jesuïta. Descobridor de les interferències lluminoses i de la difracció de la llum en 1650. Autor d'una carta de la Lluna utilitzada per Riccioli en 1651.;-66.39648415;66 ° 24 '  Oest;-9.787819057;9 ° 47 '  Sud;Sud-Oest;Limbe oest de la Lluna;39;Grimaldi;226;3c4;067C 075C 080C Q3W, 233C 237C 247C;MM183;IV-161-H3 IV-167-M IV-162-M IV-168-M IV-168-H3;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;S del cràter Grimaldi L;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;13;6 dies després de quart creixent;5 dies després de quart minvant;999;No determinat;No determinat
Grimaldi L 2;Cúpula;No determinat;Cúpula de Grimaldi L n° 2;ALPO 1976;;;;Astrònom i físic;Itàlia;italià;17;17è segle;Bolonya;1618;Bolonya;1663;Jesuïta. Descobridor de les interferències lluminoses i de la difracció de la llum en 1650. Autor d'una carta de la Lluna utilitzada per Riccioli en 1651.;-66.78942898;66 ° 47 '  Oest;-9.671555142;9 ° 40 '  Sud;Sud-Oest;Limbe oest de la Lluna;39;Grimaldi;226;3c4;067C 075C 080C Q3W, 233C 237C 247C;MM183;IV-161-H3 IV-167-M IV-162-M IV-168-M IV-168-H3;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SE del cràter Grimaldi L;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;13;6 dies després de quart creixent;5 dies després de quart minvant;999;No determinat;No determinat
Grimaldi L 3;Cúpula;No determinat;Cúpula de Grimaldi L n° 3;ALPO 1976;;;;Astrònom i físic;Itàlia;italià;17;17è segle;Bolonya;1618;Bolonya;1663;Jesuïta. Descobridor de les interferències lluminoses i de la difracció de la llum en 1650. Autor d'una carta de la Lluna utilitzada per Riccioli en 1651.;-67.06282749;67 ° 4 '  Oest;-9.613438289;9 ° 37 '  Sud;Sud-Oest;Limbe oest de la Lluna;39;Grimaldi;226;3c4;067C 075C 080C Q3W, 233C 237C 247C;MM183;IV-161-H3 IV-167-M IV-162-M IV-168-M IV-168-H3;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SO del cràter Grimaldi L;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;13;6 dies després de quart creixent;5 dies després de quart minvant;999;No determinat;No determinat
Gruithuisen Delta;Cúpula;No determinat;Cúpula de Mons Gruithuisen Delta n° 1;ALPO 1976;;;;Astrònom i naturalista;Alemanya;alemany;19;19è segle;Haltenberg;1774;?;1852;Observador de la Lluna creient-la habitada. Autor de la teoria de l'origen meteorític dels cràters lunars en 1840.;-39.36988793;39 ° 22 '  Oest;35.87366688;35 ° 52 '  Nord;Nord-Oest;Part nord de l'Oceà de les Tempestes;9;Mairan;358;10c2 / 14g2;040N 048N 055N 061N 205N 213N;MM37;IV-145-H1 IV-151-H1;34;20;39.984;12.1;1660;5030;0.048823529;------------^------------;Mons Gruithuisen Delta;Volcà;Vulcanisme extrusiu;Descripció ALPO : Gran cúpula fàcil de localitzar. Oblonga. Complexa. Cràter-pou al cim.;4;Formació excepcional.;11;4 dies després de quart creixent;3 dies després de quart minvant;30;10x binoculars;50 mm refractor
Gruithuisen E 1;Cúpula;No determinat;Cúpula de Gruithuisen E;ALPO 1976;;;;Astrònom i naturalista;Alemanya;alemany;19;19è segle;Haltenberg;1774;?;1852;Observador de la Lluna creient-la habitada. Autor de la teoria de l'origen meteorític dels cràters lunars en 1840.;-44.96336998;44 ° 58 '  Oest;36.37018758;36 ° 22 '  Nord;Nord-Oest;Part nord de l'Oceà de les Tempestes;9;Mairan;358;10c2 / 14g2;040N 048N 055N 061N 205N 213N;MM37;IV-145-H1 IV-151-H1;10;10;39.819;6.1;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SE del cràter Gruithuisen E;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Hemisfèrica.;3;Formació molt interessant;11;4 dies després de quart creixent;3 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Gruithuisen Gamma 1;Cúpula;No determinat;Cúpula de Gruithuisen Gamma n° 1;ALPO 1976;;;;Astrònom i naturalista;Alemanya;alemany;19;19è segle;Haltenberg;1774;?;1852;Observador de la Lluna creient-la habitada. Autor de la teoria de l'origen meteorític dels cràters lunars en 1840.;-40.96524435;40 ° 58 '  Oest;37.08506032;37 ° 5 '  Nord;Nord-Oest;Part nord de l'Oceà de les Tempestes;9;Mairan;358;10c2 / 14g2;040N 048N 055N 061N 205N 213N;MM37;IV-145-H1 IV-151-H1;8;8;40.06;4.9;1100;3333;0.1375;-----^-----;NE de Mons Gruithuisen Gamma;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Hemisfèrica. Mida mitjana.;3;Formació molt interessant;11;4 dies després de quart creixent;3 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Gruithuisen Gamma 2;Cúpula;No determinat;Cúpula de Gruithuisen Gamma n° 2;ALPO 1976;;;;Astrònom i naturalista;Alemanya;alemany;19;19è segle;Haltenberg;1774;?;1852;Observador de la Lluna creient-la habitada. Autor de la teoria de l'origen meteorític dels cràters lunars en 1840.;-41.34940038;41 ° 21 '  Oest;36.65533927;36 ° 39 '  Nord;Nord-Oest;Part nord de l'Oceà de les Tempestes;9;Mairan;358;10c2 / 14g2;040N 048N 055N 061N 205N 213N;MM37;IV-145-H1 IV-151-H1;5;5;3;3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;E de Mons Gruithuisen Gamma;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Petita cúpula. Hemisfèrica.;3;Formació molt interessant;11;4 dies després de quart creixent;3 dies després de quart minvant;50;50 mm refractor;100 mm refractor
Gruithuisen Zeta;Cúpula;No determinat;Cúpula de Gruithuisen Zeta n° 1;ALPO 1976;;;;Astrònom i naturalista;Alemanya;alemany;19;19è segle;Haltenberg;1774;?;1852;Observador de la Lluna creient-la habitada. Autor de la teoria de l'origen meteorític dels cràters lunars en 1840.;-39.38580148;39 ° 23 '  Oest;35.59133528;35 ° 35 '  Nord;Nord-Oest;Part nord de l'Oceà de les Tempestes;9;Mairan;358;10c2 / 14g2;040N 048N 055N 061N 205N 213N;MM37;IV-145-H1 IV-151-H1;3;3;40.026;1.8;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;On Gruithuisen Zeta;Volcà;Vulcanisme extrusiu;Descripció ALPO : Petit complex de cúpules. Hemisfèrica. Almenys 2 cràters-pou al cim. ;4;Formació excepcional.;11;4 dies després de quart creixent;3 dies després de quart minvant;100;100 mm refractor;200 mm reflector
Gutenberg 1;Cúpula;No determinat;Cúpula de Gutenberg n° 1;ALPO 1976;;;;Impressor;Alemanya;alemany;15;15è segle;Mayence;1398;Mayence;1468;Inventor dels caràcters tipogràfics en plom i de la premsa d'imprimir vers 1440. Va imprimir la primera Bíblia en sèrie. Ennoblit en 1465 per l'arquebisbe de Mainz (Magúncia).;38.81459037;38 ° 49 '  Est;-9.613438289;9 ° 37 '  Sud;Sud-Est;Part est del Mar de la Fecunditat;48;Messier;190;;323C 328C 131C 135C/S;;IV-065-H3 IV-072-H3;13;13;40.063;7.9;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;O del cràter Gutenberg;Volcà;Vulcanisme extrusiu;Descripció ALPO : Base irregular. Pendents bastant abruptes. 2 cràters al cim.;4;Formació excepcional.;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Gutenberg 2;Cúpula;No determinat;Cúpula de Gutenberg n° 2;ALPO 1976;;;;Impressor;Alemanya;alemany;15;15è segle;Mayence;1398;Mayence;1468;Inventor dels caràcters tipogràfics en plom i de la premsa d'imprimir vers 1440. Va imprimir la primera Bíblia en sèrie. Ennoblit en 1465 per l'arquebisbe de Mainz (Magúncia).;39.02869313;39 ° 2 '  Est;-8.974797569;8 ° 58 '  Sud;Sud-Est;Part est del Mar de la Fecunditat;48;Messier;190;;323C 328C 131C 135C/S;;IV-065-H3 IV-072-H3;39.85;39.85;40.028;3.8;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;O del cràter Gutenberg;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No confirmat.;3;Formació molt interessant;4;4 dies després de la Lluna nova;3 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Gylden 1;Cúpula;No determinat;Cúpula de Gylden n° 1;ALPO 1976;;;;Astrònom;Suècia;suec;19;19è segle;Helsinki;1841;Stockholm;1896;Director de l'observatori d'Estocolm. Treballs sobre les libracions lunars i les pertorbacions planetàries.;0.057578648;0 ° 57 '  Est;-5.681588951;5 ° 41 '  Sud;Sud-Oest;Sector del cràter Ptolomeu;44;Ptolemaeus;238;1,50E+007;003C 009C 174C 179C;;IV-101-H3 IV-108-H3;6;6;39.967;3.6;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Glydén;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No confirmat.;3;Formació molt interessant;7;Quart creixent;6 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Gylden 2;Cúpula;No determinat;Cúpula de Gylden n° 2;ALPO 1976;;;;Astrònom;Suècia;suec;19;19è segle;Helsinki;1841;Stockholm;1896;Director de l'observatori d'Estocolm. Treballs sobre les libracions lunars i les pertorbacions planetàries.;0.28767369;0 ° 43 '  Est;-5.221138957;5 ° 13 '  Sud;Sud-Oest;Sector del cràter Ptolomeu;44;Ptolemaeus;238;1,50E+007;003C 009C 174C 179C;;IV-101-H3 IV-108-H3;39.935;39.935;39.934;1.5;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Glydén;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No confirmat.;3;Formació molt interessant;7;Quart creixent;6 dies després de la Lluna plena;150;150 mm refractor;300 mm reflector
Gylden 3;Cúpula;No determinat;Cúpula de Gylden n° 3;ALPO 1976;;;;Astrònom;Suècia;suec;19;19è segle;Helsinki;1841;Stockholm;1896;Director de l'observatori d'Estocolm. Treballs sobre les libracions lunars i les pertorbacions planetàries.;0.057534506;0 ° 57 '  Est;-5.221138957;5 ° 13 '  Sud;Sud-Oest;Sector del cràter Ptolomeu;44;Ptolemaeus;238;1,50E+007;003C 009C 174C 179C;;IV-101-H3 IV-108-H3;39.935;39.935;39.934;1.5;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Glydén;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Hemisfèrica.;3;Formació molt interessant;7;Quart creixent;6 dies després de la Lluna plena;150;150 mm refractor;300 mm reflector
Gylden 4;Cúpula;No determinat;Cúpula de Gylden n° 4;ALPO 1976;;;;Astrònom;Suècia;suec;19;19è segle;Helsinki;1841;Stockholm;1896;Director de l'observatori d'Estocolm. Treballs sobre les libracions lunars i les pertorbacions planetàries.;0.172526786;0 ° 50 '  Est;-4.93353123;4 ° 56 '  Sud;Sud-Oest;Sector del cràter Ptolomeu;44;Ptolemaeus;238;1,50E+007;003C 009C 174C 179C;;IV-101-H3 IV-108-H3;39.935;39.935;39.934;1.5;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;A l'interior del cràter Glydén;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No confirmat.;3;Formació molt interessant;7;Quart creixent;6 dies després de la Lluna plena;150;150 mm refractor;300 mm reflector
Hahn A 1;Cúpula;No determinat;Cúpula de Hahn A n° 1;ALPO 1976;;;;Astrònom;Alemanya;alemany;18;18è segle;?;1741;?;1805;??;68.33885019;68 ° 20 '  Est;31.66824325;31 ° 40 '  Nord;Nord-Est;Limbe nord-est de la Lluna;16;Gauss;306;14a3 / 16g3;291N 303C Q1ENE 099N 105N;;IV-165-H2;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;N del cràter Hahn A;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Complexa gran i irregular;3;Formació molt interessant;2;2 dies després de la Lluna nova;1 dia després de la Lluna nova;999;No determinat;No determinat
Hall J 1;Cúpula;No determinat;Cúpula de Hall J n° 1;ALPO 1976;;;;Astrònom;Estats Units;americà;19;19è segle;Goshen;1829;Annapolis;1907;Especialista dels cometes i dels asteroides. Va descobrir els satèl·lits de Mart, Phobos i Deimos, en 1877. Treballs sobre Hiperió, les estrelles dobles i les paral·laxis estel·lars.;35.59708615;35 ° 36 '  Est;35.3099959;35 ° 19 '  Nord;Nord-Est;Sector sud-est del cràter Atlas;15;Atlas;311;;;;IV-074-H1;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;O del cràter Hall J;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;999;No determinat;No determinat
Hall K 1;Cúpula;No determinat;Cúpula de Hall K n° 1;ALPO 1976;;;;Astrònom;Estats Units;americà;19;19è segle;Goshen;1829;Annapolis;1907;Especialista dels cometes i dels asteroides. Va descobrir els satèl·lits de Mart, Phobos i Deimos, en 1877. Treballs sobre Hiperió, les estrelles dobles i les paral·laxis estel·lars.;34.9592372;34 ° 58 '  Est;34.88980992;34 ° 53 '  Nord;Nord-Est;Sector sud-est del cràter Atlas;15;Atlas;311;;;;IV-074-H1;5;5;3;3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SE del cràter Hall K;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Hall K 2;Cúpula;No determinat;Cúpula de Hall K n° 2;ALPO 1976;;;;Astrònom;Estats Units;americà;19;19è segle;Goshen;1829;Annapolis;1907;Especialista dels cometes i dels asteroides. Va descobrir els satèl·lits de Mart, Phobos i Deimos, en 1877. Treballs sobre Hiperió, les estrelles dobles i les paral·laxis estel·lars.;34.97661998;34 ° 59 '  Est;35.0996322;35 ° 6 '  Nord;Nord-Est;Sector sud-est del cràter Atlas;15;Atlas;311;;;;IV-074-H1;3;3;40.026;1.8;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SE del cràter Hall K;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;100;100 mm refractor;200 mm reflector
Hall Y 1;Cúpula;No determinat;Cúpula de Hall Y n° 1;ALPO 1976;;;;Astrònom;Estats Units;americà;19;19è segle;Goshen;1829;Annapolis;1907;Especialista dels cometes i dels asteroides. Va descobrir els satèl·lits de Mart, Phobos i Deimos, en 1877. Treballs sobre Hiperió, les estrelles dobles i les paral·laxis estel·lars.;35.84913612;35 ° 51 '  Est;36.29906309;36 ° 18 '  Nord;Nord-Est;Sector sud-est del cràter Atlas;15;Atlas;311;;;;IV-074-H1;40;40;39.896;24.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;O del cràter Hall Y;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Hemisfèrica.;3;Formació molt interessant;5;5 dies després de la Lluna nova;4 dies després de la Lluna plena;30;10x binoculars;50 mm refractor
Harker 1;Cúpula;No determinat;Cúpula de Dorsa Harker n° 1;ALPO 1976;;;;Geòleg;Gran Bretanya;britànic;20;20è segle;?;1859;?;1939;??;63.97681299;63 ° 59 '  Est;16.85795602;16 ° 51 '  Nord;Nord-Est;Limbe est-nord-est de la Lluna;27;Plutarch;262;;112N;;;25;25;39.859;15.2;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;O de Dorsa Harker;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : Pendents moderats. Oblong.;3;Formació molt interessant;3;3 dies després de la Lluna nova;2 dies després de la Lluna plena;50;50 mm refractor;100 mm refractor
Harker 2;Cúpula;No determinat;Cúpula de Dorsa Harker n° 2;ALPO 1976;;;;Geòleg;Gran Bretanya;britànic;20;20è segle;?;1859;?;1939;??;63.43619998;63 ° 26 '  Est;16.85795602;16 ° 51 '  Nord;Nord-Est;Limbe est-nord-est de la Lluna;27;Plutarch;262;;112N;;;35;35;39.893;21.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;O de Dorsa Harker;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;3;3 dies després de la Lluna nova;2 dies després de la Lluna plena;30;10x binoculars;50 mm refractor
Harpalus 1;Cúpula;No determinat;Cúpula de Harpalus n° 1;ALPO 1976;;;;Astrònom;Grècia;grec;-5;5è segle AC;?;vers 460 AC;?;?;??;-46.64429742;46 ° 39 '  Oest;49.72938986;49 ° 44 '  Nord;Nord-Oest;Limbe nord-nord-oest de la Lluna;2;Pythagoras;405;15b7;040N 048N 055N 061N 067N 075N 205N 213N 225 N;;IV-152-H1 IV-158-H3 IV-164-H1 IV-163-H3;?;?;?;?;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;SO del cràter Harpalus;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;11;4 dies després de quart creixent;3 dies després de quart minvant;999;No determinat;No determinat
Helicon 1;Cúpula;No determinat;Cúpula de Helicon n° 1;ALPO 1976;;;;Astrònom;Grècia;grec;-5;5è segle AC;Cyzique;450 AC;?;?;Deixeble de Plató i d'Eudoxe. Predicció d'un eclipsi de Sol.;-24.12862492;24 ° 8 '  Oest;40.46624852;40 ° 28 '  Nord;Nord-Oest;Part nord-oest del Mar de les Pluges;10;Sinus Iridum;356;;024N 029N 036N 040N 191N 201N;;IV-139-H2 IV-134-H2;7;7;39.876;4.3;?;?;Hauteur inconnue. Calcul impossible.;Alçada desconeguda. Dibuix impossible.;NO del cràter Helicon;Escut volcànic;Vulcanisme extrusiu;Descripció ALPO : No hi ha descripció física.;3;Formació molt interessant;9;2 dies després de quart creixent;1 dia després de quart creixent;50;50 mm refractor;100 mm refractor
