NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGHTKM;WIDEKM;LENGHTMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
VAN DER WAALS W;Crater;??;Johannes Diderik Van der Waals;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;physicist;Netherlands;Dutch;20;20 th century;Leyde;1837;Amsterdam;1923;Author of a law on fluids states on 1880. Author of a dynamical theory of capillarity. Nobel laureate on 1910.;117,1;117,1 ° East;-41,3;41,3 ° South;South-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;46;46;27;27;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN GENT D;Crater;??;H. Van Gent;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;astronomer;Netherlands;Dutch;20;20 th century;??;1900;??;1947;??;161,7;161,7 ° East;16,3;16,3 ° North;North-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;35;35;21;21;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN GENT N;Crater;??;H. Van Gent;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;astronomer;Netherlands;Dutch;20;20 th century;??;1900;??;1947;??;160;160 ° East;13,5;13,5 ° North;North-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;32;32;19;19;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN GENT P;Crater;??;H. Van Gent;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;astronomer;Netherlands;Dutch;20;20 th century;??;1900;??;1947;??;159,4;159,4 ° East;12,6;12,6 ° North;North-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;47;47;28;28;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN GENT T;Crater;??;H. Van Gent;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;astronomer;Netherlands;Dutch;20;20 th century;??;1900;??;1947;??;157,2;157,2 ° East;15,5;15,5 ° North;North-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;16;16;9;9;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN GENT U;Crater;??;H. Van Gent;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;astronomer;Netherlands;Dutch;20;20 th century;??;1900;??;1947;??;157,1;157,1 ° East;17;17 ° North;North-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;20;20;12;12;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN GENT X;Crater;??;H. Van Gent;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;astronomer;Netherlands;Dutch;20;20 th century;??;1900;??;1947;??;159,7;159,7 ° East;16,4;16,4 ° North;North-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;38;38;22;22;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN MAANEN K;Crater;??;Adriaan Van Maanen;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;astronomer;USA;American;20;20 th century;??;1884;??;1946;Discoverer of a high speed star in constellation;129,1;129,1 ° East;33,2;33,2 ° North;North-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;23;23;14;14;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN RHIJN T;Crater;??;Pieter J. van Rhijn;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;astronomer;Netherlands;Dutch;20;20 th century;??;1886;??;1960;??;140;140 ° East;52,2;52,2 ° North;North-East;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;35;35;21;21;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN'T HOFF F;Crater;??;Jacobus Henricus Van't Hoff;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;chemist;Netherlands;Dutch;19;19 th century;Rotterdam;1852;Berlin;1911;Inventor of stereochemistry with Le Bel. Assymetical carbon atoms action on ploarized light. Discoverer of cinetical principles of chemical cinetics. Author of a theoty about osmotical pressure. Nobel laureate on 1901.;-126,2;126,2 ° West;61,5;61,5 ° North;North-West;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;41;41;24;24;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN'T HOFF M;Crater;??;Jacobus Henricus Van't Hoff;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;chemist;Netherlands;Dutch;19;19 th century;Rotterdam;1852;Berlin;1911;Inventor of stereochemistry with Le Bel. Assymetical carbon atoms action on ploarized light. Discoverer of cinetical principles of chemical cinetics. Author of a theoty about osmotical pressure. Nobel laureate on 1901.;-132,1;132,1 ° West;56,8;56,8 ° North;North-West;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;36;36;21;21;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAN'T HOFF N;Crater;??;Jacobus Henricus Van't Hoff;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;chemist;Netherlands;Dutch;19;19 th century;Rotterdam;1852;Berlin;1911;Inventor of stereochemistry with Le Bel. Assymetical carbon atoms action on ploarized light. Discoverer of cinetical principles of chemical cinetics. Author of a theoty about osmotical pressure. Nobel laureate on 1901.;-132,3;132,3 ° West;57,9;57,9 ° North;North-West;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;46;46;27;27;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
VAVILOV D;Crater;??;Nikolaj Ivanovitch Vavilov;Andersson / Whitaker 1982;Unknown in this period;Unknown in this period;Unknown in this period;biologist;Russia;Russian;20;20 th century;Moscow;1857;Magadan;1943;Author of numerous works on natural selection and cultures acclimatation as that of cereals.;-137,1;137,1 ° West;-0,1;0,1 ° South;South-West;Not defined;No map;;No map or picture;No map or picture;No map or picture;No article;??;102;102;60;60;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
