NOM_SITE;SITE_NAME;LANGUE;LANGUAGE;THEME_FR;THEME_EN;SOUS_THEME;SUB_THEME;ADDRESS;DESCRIPTION_FR;DESCRIPTION_EN;DATE D'ENREGISTREMENT;RECORDING DATE
LE LUNAR ORBITER PHOTOGRAPHIC ATLAS OF THE MOON;THE LUNAR ORBITER PHOTOGRAPHIC ATLAS OF THE MOON;Anglais;English;Atlas lunaire en ligne;On line lunar atlas;Atlas lunaire professionnel;Professional lunar atlas;http://www.lpi.usra.edu/resources/lunar_orbiter/;Le célèbre atlas photographique de la Lune établi à partir des images des sondes Lunar Orbiter;The famous photographic atlas of the Moon bases on Lunar Orbiter probes images;15.10.2012;15.10.2012
LE CONSOLIDATED LUNAR ATLAS;THE CONSOLIDATED LUNAR ATLAS;Anglais;English;Atlas lunaire en ligne;On line lunar atlas;Atlas lunaire professionnel;Professional lunar atlas;http://www.lpi.usra.edu/resources/cla/;Le célèbre atlas lunaire de l'ère pré-spatiale réalisé Gerald P. Kuiper, Ewen A. Whitaker, Robert G. Strom, John W. Fountain, and Stephen M. Larson;The famous pre-spatial lunar realized by Gerald P. Kuiper, Ewen A. Whitaker, Robert G. Strom, John W. Fountain, and Stephen M. Larson;15.10.2012;15.10.2012
NASA / GRAIL;NASA / GRAIL;Anglais;English;Sondes lunaires;Lunar probes;GRAIL;GRAIL;https://moonkam.ucsd.edu/;Le site de la mission GRAIL de la NASA aux deux satellites lunaires jumeaux;The Web site of the GRAIL NASA mission with its two twin lunar satellites;16.10.2012;16.10.2012
BRITISH ASTRONOMICAL SOCIETY / LUNAR SECTION;BRITISH ASTRONOMICAL SOCIETY / LUNAR SECTION;Anglais;English;Organisme non officiel;Non official organization;Association d'amateurs;Amateurs association;http://www.baalunarsection.org.uk/tnm.htm;La section des observateurs lunaires de la British Astronomical Association;The lunar observers section of the British astronomical association;16.10.2012;16.10.2012
LE SITE WEB DE THIERRY LEGAULT;THIERRY LEGAULT 'S WEB SITE;Multilingues;Multilanguages;Site d'images lunaires;Lunar pictures site;Photographes amateurs lunaires;Lunar amateurs imagers;http://perso.club-internet.fr/legault/index_fr.html;Les magnifiques images lunaires de Thierry Legault. ;Marvelous lunar pictures of Thierry Legault;16.10.2012;16.10.2012
LE SITE WEB DE PAOLO LAZZAROTTI;PAOLO LAZZAROTTI 'S WEB SITE;Multilingues;Multilanguages;Site d'images lunaires;Lunar pictures site;Photographes amateurs lunaires;Lunar amateurs imagers;http://www.lazzarotti-hires.com/index.php?lan=english;Les magnifiques images lunaires de Paolo Lazzarotti. Un maximum de formations photographiées;Marvelous lunar pictures of Paolo Lazzarotti. Lot of pictured formations.;16.10.2012;16.10.2012
LE SITE WEB DE CHRISTIAN VILADRICH;CHRISTIAN VILADRICH 'S WEB SITE;Multilingues;Multilanguages;Site d'images lunaires;Lunar pictures site;Photographes amateurs lunaires;Lunar amateurs imagers;http://viladric.club.fr/index.html;Les magnifiques images lunaires de Christian Viladrich. ;Marvelous lunar pictures of Christian Viladrich.;16.10.2012;16.10.2012
THE ONCE AND FUTURE MOON / LE BLOG DE PAUL SPUDIS;THE ONCE AND FUTURE MOON / PAUL SPUDIS 'S BLOG;Anglais;English;Blog;Blog;Astronome professionnel;Professional astronomer;http://blogs.airspacemag.com/moon/;Le blog de Paul Spudis, un des plus grans spécialiste de la Lune avec des prises de position intéressantes;Paul Spudis 's blog. One of the major lunar specialist with intersting advices;17.10.2012;17.10.2012
LPOD / LUNAR PICTURE OF THE DAY;LPOD / LUNAR PICTURE OF THE DAY;Anglais;English;Blog;Blog;Astronome professionnel;Professional astronomer;http://lpod.wikispaces.com/;Le blog de Charles Wood, directeur du comité pour la nomenclature lunaire de l'UAI;Charles Wood (Head of the IAU lunar nomenclature committee) 's blog;17.10.2012;17.10.2012
ILUJ / L'IMAGE LUNAIRE DU JOUR;FRENCH LPOD;Français;French;Blog;Blog;Astronome professionnel;Professional astronomer;http://iluj.wikispaces.com;La traduction française du blog de Charles Wood créée par Christian Legrand et reprise par Jocelyn Sérot;French translation of Charles Wood 's LPOD blog created by Christian Legrand and continued by Jocelyn Sérot;17.10.2012;17.10.2012
LUNAR PIONEER / LE BLOG DE JOEL RAUPE;LUNAR PIONEER /  JOEL RAUPE 'S BLOG;Anglais;English;Blog;Blog;Astronome professionnel;Professional astronomer;http://lunarnetworks.blogspot.fr/;Le blog de Joel Raupe qui regroupe l'actualité lunaire;Joel Raupe 's blog presenting lunar news;17.10.2012;17.10.2012
THE MOON WIKI / LE WIKI DE LA LUNE;THE MOON WIKI / LE WIKI DE LA LUNE;Anglais;English;Blog;Blog;Astronome professionnel;Professional astronomer;http://the-moon.wikispaces.com/Introduction;Le Wiki de la Lune créé par Charles Wood, directeur du comité pour la nomenclature lunaire de l'UAI maintenu avec l'aide de nombreux astronomes amateurs;Moon Wiki created by Charles Wood (Head of the IAU lunar nomenclature committee) and maintened with the help of numerous amateur astronomers;17.10.2012;17.10.2012
MOON ZOO / LE ZOO DE LA LUNE;MOON ZOO;Anglais;English;Site spécialisé;Specialized site;Astronome professionnel;Professional astronomer;http://www.moonzoo.org/;Un site qui vous permet de participer à un programme professionnel d'identification des formations lunaires.;Site allowing you for participating in a professional program about lunar formations identification.;17.10.2012;17.10.2012
