NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU
CATENA DZIEWULSKI;CA1878N10027E;;CA;Cadena de cràters;;;;;;Cadena de Dziewulski (Wladyslaw Dziewulski);UAI 1976 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Polònia;polonès;20;segle 20è;??;1878;??;1962;??;100.269209;100.269209;100.269° East;18.775628;18.776° North;Cara oculta;Nord-Est;;80;;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
CATENA GREGORY;CA0059S12980E;;CA;Cadena de cràters;;;;;;Cadena de Gregory (James Gregory);UAI 1976 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Matemàtic;Regne Unit;britànic;17;segle 17è;Drumoak;1638;Edimburg;1675;Inventor d'un telescopi amb mirall secundari còncau en 1632. Membre de la Royal Society en 1668. Concepció dels mètodes infinitesimals de càlcul de les superfícies i dels volums. Autor dels desenvolupaments en sèrie de les funcions trigonomètriques i del nombre pi.;129.802518;129.802518;129.803° East;-0.591887;0.592° South;Cara oculta;Sud-Est;;152;;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
CATENA KURCHATOV;CA3725N13660E;;CA;Cadena de cràters;;;;;;Cadena de Kurchatov (Igor V. Kurchatov);UAI 1976 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Físic;URSS;soviètic;20;segle 20è;??;1903;??;1960;Investigacions en física nuclear. Síntesi de radio-elements.;136.603347;136.603347;136.603° East;37.246545;37.247° North;Cara oculta;Nord-Est;;226;;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
CATENA LEUSCHNER;CA0507N11130W;;CA;Cadena de cràters;;;;;;Cadena de Leuschner (Armin O. Leuschner);UAI 1979 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astrònom;Estats Units;americà;20;segle 20è;??;1868;??;1953;Enginyer al Gas Dynamics Laboratory.;-111.304456;248.695544;111.304° West;5.073663;5.074° North;Cara oculta;Nord-Oest;;364;;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
CATENA LUCRETIUS;CA0403S12645W;;CA;Cadena de cràters;;;;;;Cadena de Lucretius (Titus C. Lucrecius);UAI 1979 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Filòsof;Roma;romà;-1;segle 1er abans JC;??;-95;??;-55;??;-126.445734;233.554266;126.446° West;-4.025843;4.026° South;Cara oculta;Sud-Oest;;271;;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
CATENA MENDELEEV;CA0663N13922E;;CA;Cadena de cràters;;;;;;Cadena de Mendeleev (Dmitrij Ivanovitch Mendeleev);UAI 1976 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Químic;Rússia;rus;19;segle 19è;Tobolsk;1834;Sant Petersburg;1907;Nombrosos treballs sobre els gasos i l'aire. Autor d'un tractat de química en 1868 i de la classificació periòdica dels elements en 1869.;139.216619;139.216619;139.217° East;6.630199;6.630° North;Cara oculta;Nord-Est;;188;;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
CATENA MICHELSON;CA0044S11358W;;CA;Cadena de cràters;;;;;;Cadena de Michelson (Albert Abraham Michelson);UAI 1979 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Físic;Estats Units;americà;20;segle 20è;Strelno;1852;Pasadena;1931;Inventor d'un interferòmetre. Mesura de la velocitat de la llum en diferents medis. Mesura de les marees de l'escorça terrestre en 1917. Premi Nobel en 1907.;-113.581154;246.418846;113.581° West;-0.442237;0.442° South;Cara oculta;Nord-Oest;;456;;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
CATENA SUMNER;CA3789N11191E;;CA;Cadena de cràters;;;;;;Cadena de Sumner (Thomas H. Sumner);UAI 1976 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Geògraf;Estats Units;americà;19;segle 19è;??;1807;??;1876;??;111.910098;111.910098;111.910° East;37.891729;37.892° North;Cara oculta;Nord-Est;;247;;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
CHADWICK;AA5285S10134W;;AA;Cràter;;;;;;Sir James Chadwick;UAI 1970 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Físic;Regne Unit;britànic;20;segle 20è;Manchester;1891;Londres;1974;Alumne de Rutherford. Treballs sobre la física nuclear i la desintegració dels elements. Descobridor de la natura del neutró en 1932. Posta a punt de la primera bomba atòmica en 1945 a Los Alamos. Premi Nobel en 1935.;-101.342415;258.657585;101.342° West;-52.852022;52.852° South;Cara oculta;Sud-Oest;;30;30;;Desconeguda;Altura desconeguda. Càlcul impossible;Formació circular situada a la zona de les libracions;;;;;1;Formació difícil o poc interessant;14;Lluna Plena;6 dies després del Quart Minvant;30;Prismàtics 10X;Ullera de 50 mm
CHAFFEE;AA3906S15463W;;AA;Cràter;;;;;;Roger B. Chaffee;UAI 1970 ?;;Desconegut a l'època;Desconegut a l'època;Desconegut a l'època;Astronauta;Estats Units;americà;20;segle 20è;??;1935;Cap Kennedy;1967;Enginyer en astronàutica, astronauta de la missió Apollo 1. Mort en l'incendi al sòl de la cabina durant un entrenament.;-154.628672;205.371328;154.629° West;-39.064995;39.065° South;Cara oculta;Sud-Oest;;49;49;;Desconeguda;Altura desconeguda. Càlcul impossible;No observable;;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
