NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU
TORRICELLI;AA0472S02840E;;AA;Cráter;;;Imbriano (Desde -3.85 mil millones de años hasta -3.2 mil millones de años) ?;;;Evangelista Torricelli;Mädler (1837);;Wassenarii;Sin nombre;Sin nombre;Físico y Matemático;Italia;Italiano;17;Siglo XVII;Faenza;1608;Florencia;1647;Pupilo de Galileo. Descubridor de la presión atmosférica e inventor del barómetro con mercurio en 1643.;28.403655;28.403655;28.404° East;-4.719664;4.720° South;Nearside;Sur-Este;Región al Noreste del cráter Theophilus;23;23;;2100;0,0913;Formación doble con forma de pera situada al centro del cráter más amplio fantasma Torricelli R.;;Vertientes poco escarpadas.;Paredes de escasa altura colapsadas al Sur con grietas y montadas al Este por un cratercillo.;Suelo plano comunicando con el cratercillo.;3;Formación muy interesante;5;5 días después de la Luna Nueva;4 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
TOSCANELLI;AA2796N04761W;;AA;Cratercillo;;;Eratostheniano (Desde -3.2 mil millones de años hasta -1.1 mil millones de años) ?;;;Paolo dal Pozza Toscanelli (ex Aristarchus C);(??);;Sin nombre;Sin nombre;Sin nombre;Doctor;Italia;Italiano;15;Siglo XV;?;1397;?;1482;??;-47.61358;312.38642;47.614° West;27.959094;27.959° North;Nearside;Norte-Oeste;Región del cráter Aristarchus;7;7;;?;Altura desconocida. Cálculo imposible.;Formación circular de forma cóncava.;;Vertientes poco escarpadas.;Paredes de escasa altura.;Suelo redondeado.;1;Formación de bajo interés o dificultad;11;4 días después del Cuarto Creciente;3 días después del Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
TOWNLEY;AA0342N06319E;;AA;Cráter;;;Pre-Imbriano (Desde -4.55 mil millones de años hasta -3.85 mil millones de años) ?;;;Sidney D. Townley (ex Apollonius G);(??);;Sin nombre;Sin nombre;Sin nombre;Astrónomo;U.S.A.;Americano;20;Siglo XX;?;1867;?;1946;??;63.187217;63.187217;63.187° East;3.424355;3.424° North;Nearside;Norte-Este;Limbo Este de la Luna;20;20;;?;Altura desconocida. Cálculo imposible.;Formación circular aislada.;;Vertientes bastante escarpadas.;Paredes de escasa altura.;Suelo extenso y muy plano relleno de lava.;2;Formación bastante interesante;3;3 días después de la Luna Nueva;2 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
TRALLES;AA2832N05285E;;AA;Cráter;;;Imbriano Superior (Desde -3.8 mil millones de años hasta -3.2 mil millones de años);;;Johann G. Tralles;Mädler (1837);;Sin nombre;Sin nombre;Sin nombre;Físico;Alemania;Alemán;18;Siglo XVIII;?;1763;?;1822;??;52.849566;52.849566;52.850° East;28.318054;28.318° North;Nearside;Norte-Este;Borde Noroeste de Mare Crisium;43;43;;3350;0,0779;Formación deforme alargada al Sur y situada la vertiente Noroeste de Cleómedes.;;Vertientes escarpadas conteniendo Debes & Debes A al Noroeste y Cleómedes A & E al Este.;Paredes muy altas con terrazas conteniendo un cratercillo al Norte y dañadas al Sur.;Suelo tortuoso con montañas.;3;Formación muy interesante;4;4 días después de la Luna Nueva;3 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
TRIESNECKER;AA0418N00360E;;AA;Cráter;;;Copernicano (Desde -1.1 mil millones de años hasta nuestros días);;;Franz de Paula Triesnecker;Lohrmann (1824);;Bechleri;Sin nombre;Sin nombre;Matemático y Astrónomo;Austria;Austriaco;18;Siglo XVIII;?;1745;?;1817;??;3.598766;3.598766;3.599° East;4.180964;4.181° North;Nearside;Norte-Este;Disco central de la Luna;27;27;;2800;0,1077;Formación circular aislada.;;Vertientes escarpadas conteniendo 3 colinas al Norte y Rimae Triesnecker al Este.;Paredes altas con ligeras terrazas.;Suelo bastante plano y poco ensanchado. Montaña central con cratercillo en la cumbre.;3;Formación muy interesante;7;Cuarto Creciente;6 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
TROUVELOT;AA4937N00579E;;AA;Cratercillo;;;Eratostheniano (Desde -3.2 mil millones de años hasta -1.1 mil millones de años) ?;;;Etienne Trouvelot;Fauth (1936);;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Francia;Francés;19;Siglo XIX;?;1827;?;1895;??;5.794684;5.794684;5.795° East;49.370815;49.371° North;Nearside;Norte-Este;Limbo Norte de la Luna;8;8;;1150;0,1278;Formación circular brillante con forma cóncava.;;Vertientes poco escarpadas.;Paredes de escasa altura.;Suelo redondeado.;2;Formación bastante interesante;7;Cuarto Creciente;6 días después de la Luna Llena;50;Refractor de 50 mm;Refractor de 100 mm
TURNER;AA0140S01324W;;AA;Cráter;;;Eratostheniano (Desde -3.2 mil millones de años hasta -1.1 mil millones de años) ?;;;Herbert Hall Turner;Lamech (1956);;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Inglaterra;Inglés;20;Siglo XX;Leeds;1861;Estocolmo;1930;Presidente de la Asociación de Sismología. Investigaciones en instrumentos geodésicos. Descubridor de la Nova Gemini en 1903. Co-autor de una nomenclatura lunar internacional.;-13.240784;346.759216;13.241° West;-1.396098;1.396° South;Nearside;Sur-Oeste;Región al Oeste del cráter Ptolemaeus;12;12;;2630;0,2229;Formación circular aislada con forma cóncava.;;Vertientes bastante escarpadas conteniendo un anillo montañoso al Oeste.;Paredes altas.;Suelo redondeado.;2;Formación bastante interesante;8;1 día después del Cuarto Creciente;Cuarto Menguante;50;Refractor de 50 mm;Refractor de 100 mm
TYCHO;AA4330S01122W;;AA;Cráter;;;Copernicano (Desde -1.1 mil millones de años hasta nuestros días);;;Tycho Brahé;Riccioli (1651);;Vladislai IV Reg. Pol.;Mons Sinai;Tycho;Astrónomo;Dinamarca;Danés;16;Siglo XVI;Knudstrup;1546;Praga;1601;Instaló su observatorio en la isla de Hveen. Catálogo de 777 estrellas. Excelente observador cuyos trabajos sobre Marte permitieron a Kepler dictar sus leyes acerca del movimiento de los planetas.;-11.215349;348.784651;11.215° West;-43.295806;43.296° South;Nearside;Sur-Oeste;Región del cráter Tycho;86;86;;4800;0,0565;Formación circular muy joven (100 millones de años).;;Vertientes muy tortuosas y escarpadas conteniendo Street al Sur Pictet al Este Tycho E al Noroeste y Tycho B al Oeste.;Paredes muy altas con terrazas muy imortantes.;Suelo plano. Una montaña central de 500 m de altura con tres cumbres principales. Líneas de cresta y colinas. Cratercillos. Horno del sistema de irradiación más importante.;4;Formación excepcional;8;1 día después del Cuarto Creciente;Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
UKERT;AA0771N00137E;;AA;Cráter;;;Imbriano Inferior (Desde -3.85 mil millones de años hasta -3.8 mil millones de años);;;Friedrich A. Ukert;Mädler (1837);;Stratti;Mons Pangaeus;Sin nombre;Historiador y Filólogo;Alemania;Alemán;19;Siglo XIX;?;1780;?;1851;??;1.36601;1.36601;1.366° East;7.708361;7.708° North;Nearside;Norte-Este;Disco central de la Luna;23;23;;2800;0,1217;Formación circular.;;Vertientes escarpadas conteniendo Ukert B & A al Norte Ukert M & N al Este y Ukert D al Suroeste.;Paredes altas con ligeras terrazas.;Suelo plano. Montaña central y línea de cresta radial orientada de Norte a Sur.;2;Formación bastante interesante;7;Cuarto Creciente;6 días después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
ULUGH BEIGH;AA3267N08196W;;AA;Cráter;;;Pre-Nectariano (Desde -4.55 mil millones de años hasta -3.92 mil millones de años) ?;;;Mehmet Turgay Ulug Beg;Mädler (1837);;Sin nombre;Sin nombre;Sin nombre;Astrónomo;Arabia;Árabe;15;Siglo XV;Sultaniyya;1394;Samarkanda;1449;Creador del observatorio de Samarkanda. Rey de Transoxiana en 1447.;-81.956537;278.043463;81.957° West;32.668241;32.668° North;Librations zone;Norte-Oeste;Limbo Noroeste de la Luna;55;55;;?;Altura desconocida. Cálculo imposible.;Situado en la zona de libraciones. Formación deformada.;;Vertientes poco escarpadas.;Paredes de escasa altura dañadas al Norte.;Suelo plano relleno con lava. Montaña central.;2;Formación bastante interesante;14;Luna Llena;6 días después del Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
