NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURY;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
ANDERS;Cráter;;William A. Anders;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astronauta;U.S.A.;Americano;20;Siglo XX;??;1933;;;Astronauta de la misión Apolo 8 en Diciembre de 1968 con Frank Borman y Jim Lovell.;-142,9;142,9 ° Oeste;-41,3;41,3 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-030-H1;40;40;24;24;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ANDERSON;Cráter;;John A. Anderson;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.S.A.;Americano;20;Siglo XX;??;1876;??;1959;??;171,1;171,1 ° Este;15,8;15,8 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;II-034-M;109;109;64;64;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ANDERSSON;Cráter;;Leif Erland;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.S.A.;Americano;20;Siglo XX;??;1943;??;1979;??;-95,3;95,3 ° Oeste;-49,7;49,7 ° Sur;Sur-Oeste;;VI;Hausen;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;13;13;8;8;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;14;Luna Llena;6 días después del Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
ANDRONOV;Cráter;;Aleksandr Aleksandrovich Andronov;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Físico;U.R.S.S.;Soviético;20;Siglo XX;??;1901;??;1952;??;146,1;146,1 ° Este;-22,7;22,7 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;16;16;9;9;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ANTONIADI;Cráter;;Eugène M. Antoniadi;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Francia;Francés;20;Siglo XX;Estambul;1870;Meudon;1944;REvisión de las superficies planetarias (principalmente Marte y Mercurio) con el refractor de 82 cm de Meudon. Opuesto a la teoría de Lowell de los canales en Marte.;-172;172 ° Oeste;-69,7;69,7 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;143;143;84;84;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ANUCHIN;Cráter;;Dimitri N. Anuchin;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Geógrafo;U.R.S.S.;Soviético;20;Siglo XX;??;1843;??;1923;??;101,3;101,3 ° Este;-49;49 ° Sur;Sur-Este;;V;Hale;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;IV-009-H1 IV-008-M ;57;57;34;34;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;1;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
APOLLO;Cráter;;Misión americanoa Apolo;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Nave lunar;U.S.A.;Americano;20;Siglo XX;;1967;;1972;Dedicado a la misión americanoa Apolo que llevó a 12 astronautaas hasta la superficie de la Luna.;-151,8;151,8 ° Oeste;-36,1;36,1 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;537;537;316;316;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
APPLETON;Cráter;;Sir Edward Victor Appleton;UAI 1985 ?;Desconocido;Desconocido;Desconocido;Físico;Reino Unido;Británico;20;Siglo XX;Bradford;1892;Edimburgo;1965;Asistente de Rutherford. Ministro de Investigación en 1939. Trabajos sobre la atmósfera. Autor del primer eco de radar sobre la Luna en 1946. Premio Nobel en 1947.;158,3;158,3 ° Este;37,2;37,2 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-085-H2 V-085-M V-103-M;63;63;37;37;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ARIOSTO;Cráter;;Ludovico Ariosto dit L'Arioste;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Escritor;Italia;Italiano;16;16 th centur:y;??;1474;??;1533;??;95,6;95,6 ° Este;-3,6;3,6 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;23;23;14;14;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;1;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
ARMINSKI;Cráter;;Franciszek Arminski;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Polonia;Polaco;19;Siglo XIX;??;1789;??;1848;??;154,2;154,2 ° Este;-16,4;16,4 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;II-075-M II-075-H1;26;26;15;15;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ARRHENIUS;Cráter;;Svante A. Arrhenius;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Científico;Suecia;Sueco;20;Siglo XX;Wijk;1859;Estocolmo;1927;Director de la Universidad de Estocolmo en 1897. Director del Instituto Nobel en 1905. Autor de una teoría sobre la ionización de los electrolitos en 1887. Autor de una teoría cosmogónica en 1900. Premio Nobel en Química en 1903. ;-91,3;91,3 ° Oeste;-55,6;55,6 ° Sur;Sur-Oeste;;VI;Hausen;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;IV-038-H2 IV-193-H3;40;40;24;24;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;14;Luna Llena;6 días después del Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
ARTAMONOV;Cráter;;Nikolaj N. Artamonov;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Ingeniero;U.R.S.S.;Soviético;20;Siglo XX;??;1906;??;1965;Científico involucrado en el programa espacial.;103,5;103,5 ° Este;25,5;25,5 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;60;60;35;35;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
ARTEM'EV;Crater;;Vladimir A. Artem'ev;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Ingeniero;URSS;Soviético;20;Siglo XX;??;1885;??;1962;Científico involucrado en el programa espacial soviético.;-144,4;144,4 ° Oeste;10,8;10,8 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-032-M;67;67;39;39;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
AVICENNA;Cráter;;Abu Ali Al Husayn Ibn Sina;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Filósofo;Irán;Iraní;11;Siglo XI;Afchana;980;Hamadhan;1037;Doctor del príncipe Boukhara. Autor de cánones en medicina. Numerosas descripciones detalladas sobre tratamientos. Autor de una cosmología basada posibles y necesarios estados.;-97,2;97,2 ° Oeste;39,7;39,7 ° Norte;Norte-Oeste;;VIII;Röntgen;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;74;74;44;44;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;14;Luna Llena;6 días después del Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
AVOGADRO;Cráter;;Amedeo (Conte Di Quarengna e Cerreto);UAI 1970 ?;Desconocido;Desconocido;Desconocido;Químico;Italia;Italiano;19;Siglo XIX;Turín;1776;Turín;1856;Profesor de física en la Universidad de Turín en 1820. Descubridor del número de átomos en un atomograma. Autor de una ley sobre la densidad de los gases.;164,9;164,9 ° Este;63,1;63,1 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;139;139;82;82;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
BABAKIN;Cráter;;Georgij N. Babakin;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Ingeniero;U.R.S.S.;Soviético;20;Siglo XX;??;1914;??;1971;Científico involucrado en el programa espacial.;123,3;123,3 ° Este;-20,8;20,8 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;20;20;12;12;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
BABCOCK;Cráter;;Harold D. Babcock;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.S.A.;Americano;20;Siglo XX;??;1882;??;1968;??;93,9;93,9 ° Este;4,2;4,2 ° Norte;Norte-Este;;III;Mare Marginis;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;99;99;58;58;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;1;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
BACKLUND;Cráter;;Oscar A. Backlund;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Suecia;Sueco;19;Siglo XIX;Karlstad;1846;Poulkovo;1916;Director del Observatorio de Pulkovo en 1895. Investigación de la mecánica celeste.;103;103 ° Este;-16;16 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;II-196-H3 II-196-M;75;75;44;44;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones;;;;1;Formación de bajo interés o dificultad;1;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
BALANDIN;Cráter;;A. A. Balandin;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Químico;U.R.S.S.;Soviético;20;Siglo XX;??;1914;??;1971;??;152,6;152,6 ° Este;-18,9;18,9 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;12;12;7;7;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
BALDET;Cráter;;Francois Baldet;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Francia;Francés;20;Siglo XX;??;1885;??;1964;??;-151,1;151,1 ° Oeste;-53,3;53,3 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-030-H1;55;55;32;32;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
BALZAC;Cráter;;Honoré de Balzac;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Escritor;Francia;Francés;19;Siglo XIX;??;1799;??;1850;Autor de la Comedia Humana.;95;95 ° Este;-8;8 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;39;39;23;23;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones;;;;1;Formación de bajo interés o dificultad;1;2 días después de la Luna Nueva;1 día después de la Luna Llena;30;Prismáticos de 10x;Refractor de 50 mm
BARBIER;Cráter;;Daniel Barbier;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrofísico;Francia;Francés;20;Siglo XX;Lion;1907;Manosque;1965;Investigación de la espectrometría estelar. Clasificación espectral de las estrellas con D. Chalonge. Red de observación internacional de la luminiscencia atmosférica.;157,9;157,9 ° Este;-23,8;23,8 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;II-075-M II-075-H2;66;66;39;39;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
BARRINGER;Cráter;;Daniel M. Barringer;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Geólogo;U.S.A.;Americano;20;Siglo XX;??;1860;??;1929;Investigación de un cráter meteórico en Arizona. Autor del origen meteorítico de los cráteres lunares.;-149,7;149,7 ° Oeste;-28;28 ° Norte;Norte-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-030-H2;68;68;40;40;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
BAUDELAIRE;Cráter;;Pierre Charles Baudelaire;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Poeta;Francia;Francés;19;Siglo XIX;??;1821;??;1867;;-89,8;89,8 ° Oeste;24,5;24,5 ° Norte;Norte-Oeste;;VIII;Röntgen;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;IV-188-H3 IV-196-H3;15;15;9;9;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;14;Luna Llena;6 días después del Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
BAWA;Cráter;;Bawa;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Nombre femenino;Africa;African;;;;;;;;123,1;123,1 ° Este;-23,2;23,2 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;10;10;6;6;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
BECQUEREL;Cráter;;Antoine H. Becquerel;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Físico;Francia;Francés;19;Siglo XIX;Châtillon sur Loing;1788;París;1878;Descubridor de la piezoelectricidad en 1819 y de la batería fotovoltaica en 1839. Ideólogo del actinómetro electroquímico. ;125,2;125,2 ° Este;-1,9;1,9 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;65;65;38;38;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
BECVAR;Cráter;;Antonin Becvar;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Astrónomo;Checoslovaquia;Checo;20;Siglo XX;??;1901;??;1965;Autor de varios atlas celestes estelares.;129,7;129,7 ° Este;40,7;40,7 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;V-158-M V-163-M;67;67;39;39;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
BEIJERINCK;Cráter;;Martinus W. Beijerink;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Botánico;Holanda;Holandés;20;Siglo XX;??;1851;??;1931;??;151,8;151,8 ° Este;-13,5;13,5 ° Sur;Sur-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;70;70;41;41;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
BELL;Cráter;;Alexander G. Bell;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Inventor;Reino Unido;Escocés;20;Siglo XX;Edimburgo;1847;Baddeck;1922;Inventor del teléfono en 1876;-96,4;96,4 ° Oeste;21,8;21,8 ° Norte;Norte-Oeste;;VIII;Röntgen;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;IV-196-H3;86;86;51;51;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;Formación circular situada en la zona de libraciones.;;;;1;Formación de bajo interés o dificultad;14;Luna Llena;6 días después del Cuarto Menguante;30;Prismáticos de 10x;Refractor de 50 mm
BELLINSGAUZEN;Cráter;;Faddey F. Bellingshausen;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Explorador;Rusia;Ruso;19;Siglo XIX;??;1778;??;1852;??;-164,6;164,6 ° Oeste;-60,6;60,6 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;63;63;37;37;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
BELOPOL'SKIY;Cráter;;Aristarch A. Belopol'skiy;UAI 1971 ?;Desconocido;Desconocido;Desconocido;Astrónomo;U.R.S.S.;Soviético;20;Siglo XX;??;1854;??;1934;??;-128,1;128,1 ° Oeste;-17,2;17,2 ° Sur;Sur-Oeste;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;59;59;35;35;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
BELYAEV;Cráter;;Pavel I. Belyaev;UAI 1970 ?;Desconocido;Desconocido;Desconocido;Cosmonauta;U.R.S.S.;Soviético;20;Siglo XX;??;1925;??;1970;Cosmonauta de la misión Voskhod 2 con Leonov el 18 de Marzo de 1965.;143,5;143,5 ° Este;23,3;23,3 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;54;54;32;32;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
BENEDICT;Cráter;;F. G. Benedict;UAI 1985 ?;Desconocido;Desconocido;Desconocido;Químico;U.S.A.;Americano;20;Siglo XX;??;1870;??;1957;??;141,5;141,5 ° Este;4,4;4,4 ° Norte;Norte-Este;;Sin mapa;;Sin mapa o dibujo;Sin mapa o dibujo;Sin mapa o dibujo;;;14;14;8;8;Desconocido;Desconocido;Altura desconocida. Cálculo imposible.;Altura desconocida. Imposible de dibujar.;No observable;;;;0;No observable;0;No observable;No observable;999;No observable;No observable
