GLO_WORD;GLO_TEXT
СЕЛЕНОДЕЗИЯ;Раздел Астрономии, изучающий форму, размер и гравитационное влияние Луны.
СЕРВЕЙОР (SURVEYOR);Американские лунные автоматические научно-исследовательские станции, приземлившиеся на Луне.
СЕТЬ БОРОЗД;Несколько соединенных лунных <a href="#БОРОЗДА">борозд</a> с общим происхождением.
СЕТЬ ГРЯД;Несколько <a href="#ГРЯДА">гряд</a>, расположенных на одной и той же части лунного <a href="#МОРЕ">моря</a>.
СИНОДИЧЕСКИЙ МЕСЯЦ;См. <a href="#ЛУННЫЙ МЕСЯЦ">Лунный Месяц</a>.
СИНОДИЧЕСКОЕ ОБРАЩЕНИЕ;Также см. <a href="#ЛУННЫЙ МЕСЯЦ">Лунный Месяц</a>. Период времени между двумя одинаковыми лунными <a href="#ФАЗА">фазами</a>.
СИНУС (SINUS,МОРЕ);Латинский термин, используемый Международным Астрономическим союзом (<a href="#МАС (IAU)">IAU</a>) для официального обозначения <a href="#ЗАЛИВ">залива</a> лунного <a href="#МОРЕ">моря</a>. 
СИНХРОННОЕ ВРАЩЕНИЕ;Когда у небесного тела периоды <a href="#ВРАЩЕНИЕ">вращения</a> и <a href="#ОБРАЩЕНИЕ">обращения</a> совпадают, она всегда показывает одну и ту же полусферу возможному наблюдателю на втором теле. Так Луна всегда обращена к Земле одной и той же <a href="#ВИДИМАЯ СТОРОНА">видимой стороной</a>.
СКЛОНЫ;"Часть <a href="#КРАТЕРОПОДОБНЫЕ ОБРАЗОВАНИЯ">кратероподобного образования</a>, расположенная между вершиной <a href="#УКЛОНЫ">уклона</a> и <a href="#ОСНОВАНИЕ">основанием</a>. Их <a href="#ВЫСОТА">высоты</a> варьируются от ""немного высоких"" (<1,000 м) до ""очень высоких"" (>4,000 м)."
СОЛНЕЧНОЕ ЗАТМЕНИЕ;Исчезновение солнечного диска за лунным диском во время некоторых редких <a href="#НОВОЛУНИЕ">новолуний</a>, когда центры Солнца, Луны и Земли выстраиваются строго на одной линии.
ТЕРМИНАТОР;Зона лунного диска, являющаяся границей между освещенной и темной частями. <a href="#УТРЕННИЙ ТЕРМИНАТОР">Утренний Терминатор</a> можно наблюдать вечером между <a href="#НОВОЛУНИЕ">новолунием</a> и <a href="#ПОЛНОЛУНИЕ">полнолунием</a>, а <a href="#ВЕЧЕРНИЙ ТЕРМИНАТОР">Вечерний Терминатор</a> - утром между <a href="#ПОЛНОЛУНИЕ">полнолунием</a> и <a href="#НОВОЛУНИЕ">новолунием</a>.
УБЫВАЮЩАЯ ЛУНА;Популярное выражение, описывающее период времени между <a href="#ПОЛНОЛУНИЕ">полнолунием</a> и <a href="#НОВОЛУНИЕ">новолунием</a>, включая <a href="#ПОСЛЕДНЯЯ ЧЕТВЕРТЬ">последнюю четверть</a>.
УКЛОНЫ;"Часть <a href="#КРАТЕРОПОДОБНЫЕ ОБРАЗОВАНИЯ">кратероподобного образования</a>, начиная с окружающей территории и до края <a href="#СКЛОНЫ">склонов</a>. Их форма различается от ""плоского"" до ""сильно разрушенного"", если присутствует лучевая <a href="#ДОЛИНА">долина</a>."
УТРЕННИЙ ТЕРМИНАТОР;Это область лунной поверхности, где восходит Солнце. Для земного наблюдателя видимо в период между <a href="#НОВОЛУНИЕ">новолунием</a> и <a href="#ПОЛНОЛУНИЕ">полнолунием</a>... в Вечернее время.
ФАЗА;Изменение видимости Луны в зависимости от различия освещенности поверхности положения <a href="#ТЕРМИНАТОР">Терминатора</a> на лунном глобусе. Выделяют четыре основные фазы: <a href="#НОВОЛУНИЕ">Новолуние</a>, <a href="#ПЕРВАЯ ЧЕТВЕРТЬ">Первая четверть</a>, <a href="#ПОСЛЕДНЯЯ ЧЕТВЕРТЬ">Последняя четверть</a> и <a href="#ПОЛНОЛУНИЕ">Полнолуние</a>.
ФАЗОВЫЙ УГОЛ;Угол между Землей / Солнцем и Землей / Лунной осью. Используется для определения части освещенной лунной <a href="#ВИДИМАЯ СТОРОНА">видимой стороны</a>.
ЧАСТНОЕ ЗАТМЕНИЕ;Частное затмение Солнца или Луны происходит в случае, если затмевающее тело не полностью закрывает другое небесное тело.
