NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;SKYTEL;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
LANGEVIN;Кратер;;Paul Langevin;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;Франции;Французский;20;20-го века;Paris;1872;Paris;1946;Works on brownian motion and gaz ionization. Theories on rays, magnetism and thermodynamics. Sound theory used in sonar. Member of French Academy of Sciences on 1934.;162,7;162,7 ° Восток;44,3;44,3 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-085-M V-079-M V-079-H3;58;58;34;34;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LANGMUIR;Кратер;;Irving Langmuir;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;США;Американский;20;20-го века;Brooklyn;1881;Falmouth;1957;Works on high temperatures materials and electrical bulbs.Author of theories about electrochemistry and catalyse. Conceiver of a va cuum pump. Discovere of atomic hydrogen. Nobel laureate in chemistry on 1932.;-128,4;128,4 ° Запад;-35,7;35,7 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-026-M V-022-H2 V-026-H2 V-022-M;91;91;54;54;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LARMOR;Кратер;;Sir Joseph Larmor;UAI 1991 ?;Неизвестно;Неизвестно;Неизвестно;физик;Ирландии;Ирландский;20;20-го века;Magheragall;1857;Holywood;1942;Works on celestial mecanics, electrodynamism, force fields, relativity and thermodynamics. Author of Aether and Matter on 1900.;-179,7;179,7 ° Запад;32,1;32,1 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-053-M;97;97;57;57;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LAUE;Кратер;;Max T. F. von Laue;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;Германии;Германский;20;20-го века;Pfaffendorf;1879;Berlin;1960;Discoverer of X rays diffraction on 1912. Works on relativity. Director of Physics Institute of Berlin on 1919. Nobel laureate on 1914.;-96,7;96,7 ° Запад;28;28 ° Север;Северо-Западный;;VIII;Rцntgen;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;IV-196-H3;87;87;51;51;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;14;Полнолуние;6 дней после Последней Четверти;30;x10 бинокль;50 мм рефрактор
LAURITSEN;Кратер;;m;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;США;Американский;20;20-го века;??;1892;??;1968;??;96,1;96,1 ° Восток;-27,6;27,6 ° Юг;Юго-Восточный;;IV;Curie;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;52;52;31;31;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
LEAVITT;Кратер;;Henrietta S. Leavitt;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;США;Американский;20;20-го века;Lancaster;1868;Cambridge;1921;Auhor of a law about absolute magnitude of variable stars called cepheids according to their variation period.;-139,3;139,3 ° Запад;-44,8;44,8 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-026-H1 V-030-H1;66;66;39;39;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LEBEDEV;Кратер;;Petr Nikolaпevitch Lebedev;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;России;Русский;20;20-го века;Moscow;1866;Moscow;1912;Professor in Moscow University on 1900.Works on dielectrics, terrestrial magnetism and radiation presssure on 1901.;107,8;107,8 ° Восток;-47,3;47,3 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;IV-008-M;102;102;60;60;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LEBEDINSKIY;Кратер;;Aleksandr I. Lebedinsky;UAI 1976 ?;Неизвестно;Неизвестно;Неизвестно;астрофизик;СССР;Советский;20;20-го века;??;1913;??;1967;??;-164,3;164,3 ° Запад;8,3;8,3 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;62;62;36;36;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LEEUWENHOEK;Кратер;;Antonie Van Leewenhoek;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;натуралист;Нидерландов;Нидерландский;18;18-го века;Delft;1632;Delft;1723;Microscopes builder. Discoverer of protozoairs, spermatozoпds, and blood globules.;-178,7;178,7 ° Запад;-29,3;29,3 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-065-M II-033-M;125;125;74;74;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LEIBNIZ;Кратер;;Gottfried Wilhelm Leibniz;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;философ;Германии;Германский;18;18-го века;Leipzig;1646;Hanovre;1716;Inventor of differential and infinitesimal calculations. Inventor integrals and differential notations and of a computing machine on 1645. Author of Metaphysical lecture on 1686.;179,2;179,2 ° Восток;-38,3;38,3 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-065-M V-043-M;245;245;144;144;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LEMAITRE;Кратер;;Monseigneur Georges Lemaоtre;UAI 1988 ?;Неизвестно;Неизвестно;Неизвестно;астрофизик;Бельгии;Бельгийский;20;20-го века;Charleroi;1894;Louvain;1966;Author of a theory about Universe expansion on 1927 and of a theory about a primal atom on 1931.;-149,6;149,6 ° Запад;-61,2;61,2 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;91;91;54;54;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LENTS;Кратер;;Heinrich Friedrich Emil Lenz;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;России;Русский;19;19-го века;Dorpat;1804;Roma;1865;Auteur d'une loi sur le sens des courants induits en 1833. Etude de l'effet Peltier.;-102,1;102,1 ° Запад;2,8;2,8 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;21;21;12;12;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LEONOV;Кратер;;Aleksej A. Leonov;UAI 1973 ?;Неизвестно;Неизвестно;Неизвестно;космонавт;СССР;Советский;20;20-го века;??;1934;Alive;Alive;First man walking in space during 12 minits on the march 18 1966 during Voskhod 2 mission. Pilot in Soyouz 19 mission on july 15 1975 for the historical rendez-vous with american mission Apollo 18.;148,2;148,2 ° Восток;19;19 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;33;33;19;19;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LEUCIPPUS;Кратер;;Leucippus;UAI 1988 ?;Неизвестно;Неизвестно;Неизвестно;философ;Греции;Греческий;-4;4-го века до новой эры;??;??;??;-440;??;-116,0;116 ° Запад;29,1;29,1 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-015-H3;56;56;33;33;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LEUSCHNER;Кратер;;Armin O. Leuschner;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;США;Американский;20;20-го века;??;1868;??;1953;??;-108,8;108,8 ° Запад;1,8;1,8 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;49;49;29;29;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LEVI-CIVITA;Кратер;;Tullio;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;математик;Италии;Итальянский;20;20-го века;Padoue;1873;Roma;1941;Numerous works on celestial mechanics, hydrodynamics, electromagnetism and atomic physics. Conceiver with Ricci-Cubastro du absolute  differential calculation.;143,4;143,4 ° Восток;-23,7;23,7 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;121;121;71;71;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LEWIS;Кратер;;Gilbert Newton Lewis;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;химик;США;Американский;20;20-го века;Weymouth;1875;Berkeley;1946;Author of the chemical link theory on 1916. Author of a general definition of acids and bases. Conceiver of the word ""photon"" on 1926.;-113,8;113,8 ° Запад;-18,5;18,5 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;42;42;25;25;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LEY;Кратер;;Willy Ley;UAI 19XX ?;Неизвестно;Неизвестно;Неизвестно;инженер;США;Американский;20;20-го века;??;1906;??;1969;Werner von Braun' collaborator.;154,9;154,9 ° Восток;42,2;42,2 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;79;79;46;46;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LI PO;Кратер;;Li Tai Po;UAI 1979 ?;Неизвестно;Неизвестно;Неизвестно;поэт;Китая;Китайский;8;8-го века;Turkestan;701;Jiangsu;762;Great poet of Tang dynasty.;90,6;90,6 ° Восток;-3,5;3,5 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;15;15;9;9;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
LINDBLAD;Кратер;;Bertil Lindblad;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Швеции;Шведский;20;20-го века;Orebro;1895;Stockholm;1965;Numerous works on the Sun, spectraes and stars motions. Discoverer with Oort on 1927 of Milky Way rotating motion.;-98,8;98,8 ° Запад;70,4;70,4 ° Север;Северо-Западный;;I;Brianchon;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;66;66;39;39;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;14;Полнолуние;6 дней после Последней Четверти;30;x10 бинокль;50 мм рефрактор
LIPPMANN;Кратер;;Gabriel Lippmann;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;Франции;Французский;20;20-го века;Hallerich;1845;On sea;1921;Conceiver of an electrometere. Numerous works on piezoelectricity and electrical batteries. Conceiver of a clor photographic method. Member of Sciences Academy on 1886. Nobel laureate on 1908.;-114,9;114,9 ° Запад;-56;56 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-021-M;160;160;94;94;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LIPSKIY;Кратер;;Yuriy N. Lipskiy;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;селенограф;СССР;Советский;20;20-го века;??;1909;??;1978;??;-179,5;179,5 ° Запад;-2,2;2,2 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;80;80;47;47;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LITKE;Кратер;;Fedor P. Litke;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;географ;России;Русский;19;19-го века;??;1797;??;1882;??;123,1;123,1 ° Восток;-16,8;16,8 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;I-136-M;39;39;23;23;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LOBACHEVSKIY;Кратер;;Nikolay Ivanovitch Lobachevskiy;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;математик;России;Русский;19;19-го века;Nijni-Novgorod;1792;Kazan;1856;Creator of a new geometry caled ""hyperbolic"". Author of ""Pangeometry"" in 1856.;112,6;112,6 ° Восток;9,9;9,9 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;84;84;49;49;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LODYGIN;Кратер;;Aleksandr N. Lodygin;UAI 1976 ?;Неизвестно;Неизвестно;Неизвестно;изобретатель;России;Русский;20;20-го века;??;1847;??;1923;??;-146,8;146,8 ° Запад;-17,7;17,7 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;I-028-M;62;62;36;36;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LOMONOSOV;Кратер;;Mikhail Vassilievitch Lomonossov;UAI 19XX ?;Неизвестно;Неизвестно;Неизвестно;физик;России;Русский;18;18-го века;Denissovka;1711;Saint-Petersburg;1765;Professor of physics at Saint Petersburg university. Numerous surveys on air, matter and electricity. Author of a reform of poetical structure.;98;98 ° Восток;27,3;27,3 ° Север;Северо-Восточный;;III;Mare Marginis;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;92;92;54;54;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
LONGFELLOW;Кратер;;Henry Wadsworth Longfellow;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;поэт;США;Американский;19;19-го века;Portland;1807;Cambridge;1882;Author of ""Evangeline"" in 1847. Influenced by european culture.;91,3;91,3 ° Восток;-7,5;7,5 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;35;35;21;21;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;999;x10 бинокль;50 мм рефрактор
LORENTZ;Кратер;;Hendrik Antoon Lorentz;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;Нидерландов;Нидерландский;20;20-го века;Arnhem;1853;Haarlem;1928;Author of a global theory about the existence of the electron and its effects. Prediction of the Zeeman effect. Author of famous transformation formulas on lenght contraction at relativistic speeds. Nobel laureate in 1902 with Zeeman.;-95,3;95,3 ° Запад;32,6;32,6 ° Север;Северо-Западный;;VIII;Rцntgen;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;312;312;184;184;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;14;Полнолуние;6 дней после Последней Четверти;30;x10 бинокль;50 мм рефрактор
LOVE;Кратер;;Augustus Edward Hough;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;геофизик;Соединенного Королевства;Британский;20;20-го века;Weston-super-Mare;1863;Oxford;1940;Numerous works on plates vibrations and waves propagation in the atmosphere.;129;129 ° Восток;-6,3;6,3 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;I-136-M I-136-H2;84;84;49;49;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LOVELACE;Кратер;;William R. Lovelace;UAI 1997 ?;Неизвестно;Неизвестно;Неизвестно;философ;США;Американский;20;20-го века;??;1907;??;1965;Specialized in spatial research.;-106,4;106,4 ° Запад;82,3;82,3 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;54;54;32;32;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LOVELL;Кратер;;James A Lovell Junior.;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астронавт;США;Американский;20;20-го века;??;1928;Alive;Alive;Pilot of Apollo 8 mission around the Moon on december 1968. Commander of Apollo 13 mission on 1972.;-141,9;141,9 ° Запад;-36,8;36,8 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;34;34;20;20;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LOWELL;Кратер;;Percival Lowell;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;США;Американский;20;20-го века;Boston;1855;Flagstaff;1916;Planet Mars specialist. Main defender of the channels theory. Benefactor builder of the Flagstaff observatory. Survey on the orbit of an hypothetical transneptunian planet.;-103,1;103,1 ° Запад;-12,9;12,9 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-015-H1;66;66;39;39;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LUCRETIUS;Кратер;;Titus C. Lucrecius;UAI 1979 ?;Неизвестно;Неизвестно;Неизвестно;философ;Рима;Румынский;-1;1-го века до новой эры;??;-95;??;-55;??;-120,8;120,8 ° Запад;-8,2;8,2 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-022-M V-022-H3;63;63;37;37;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LUDWIG;Кратер;;Carl Friedrich Wilhelm Ludwig;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физиолог;Германии;Германский;19;19-го века;Witzenhausen;1816;Leipzig;1895;Numerous surveys on the blood, the lymph, the urine and the heart. development of experimental measures means in physiology.;97,4;97,4 ° Восток;-7,7;7,7 ° Юг;Юго-Восточный;;IV;Curie;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;23;23;14;14;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
LUNDMARK;Кратер;;Knut E. Lundmark;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Швеции;Шведский;20;20-го века;??;1889;??;1958;??;152,5;152,5 ° Восток;-39,7;39,7 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;106;106;62;62;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
LYMAN;Кратер;;Theodore Lyman;UAI 1976 ?;Неизвестно;Неизвестно;Неизвестно;физик;США;Американский;20;20-го века;Boston;1874;Brookline;1954;Surveys about ultraviolet spectroscopy. Discoverer of a special rays series of hydrogen in this domain.;163,6;163,6 ° Восток;-64,8;64,8 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;84;84;49;49;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
MACH;Кратер;;Ernst Mach;UAI 1961 ?;Неизвестно;Неизвестно;Неизвестно;физик;Австрии;Австрийский;19;19-го века;Chirlitz-Turas;1838;Haar;1916;Numerous works in optics, acoustics and sound speed. Author of a general principle about mutual action between two bodies on 1933.;-149,3;149,3 ° Запад;18,5;18,5 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-031-M IV-051-M V-032-M V-028-M;180;180;106;106;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
MAKSUTOV;Кратер;;Dmitrij D. Maksutov;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;оптик;СССР;Советский;20;20-го века;??;1896;??;1964;Inventor of a new ctadioptric telescope type.;-168,7;168,7 ° Запад;-40,5;40,5 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-043-M;83;83;49;49;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
MALYY;Кратер;;Aleksandr L. Malyy;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;инженер;СССР;Советский;20;20-го века;??;1907;??;1961;Space launchers conceiver.;105,3;105,3 ° Восток;21,9;21,9 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;41;41;24;24;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
MANDEL'SHTAM;Кратер;;Leonid I. Mandel'shtam;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;СССР;Советский;20;20-го века;??;1879;??;1944;??;162,4;162,4 ° Восток;5,4;5,4 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;197;197;116;116;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
