NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;SKYTEL;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
BABAKIN;Кратер;;Georgij N. Babakin;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;инженер;СССР;Советский;20;20-го века;??;1914;??;1971;Scientist involved in the soviet space program.;123,3;123,3 ° Восток;-20,8;20,8 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;20;20;12;12;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
BABCOCK;Кратер;;Harold D. Babcock;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;США;Американский;20;20-го века;??;1882;??;1968;??;93,9;93,9 ° Восток;4,2;4,2 ° Север;Северо-Восточный;;III;Mare Marginis;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;99;99;58;58;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
BACKLUND;Кратер;;Oscar A. Backlund;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Швеции;Шведский;19;19-го века;Karlstad;1846;Poulkovo;1916;Director of Pulkovo observatory in 1895. Survey of celestial mechanic.;103;103 ° Восток;-16;16 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;II-196-H3 II-196-M;75;75;44;44;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
BALANDIN;Кратер;;A. A. Balandin;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;химик;СССР;Советский;20;20-го века;??;1914;??;1971;??;152,6;152,6 ° Восток;-18,9;18,9 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;12;12;7;7;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
BALDET;Кратер;;Francois Baldet;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Франции;Французский;20;20-го века;??;1885;??;1964;??;-151,1;151,1 ° Запад;-53,3;53,3 ° Юг;Юго-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-030-H1;55;55;32;32;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
BALZAC;Кратер;;Honorй de Balzac;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;писатель;Франции;Французский;19;19-го века;??;1799;??;1850;Author of the Human Comedy.;95;95 ° Восток;-8;8 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;39;39;23;23;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций;;;;1;Малоинтересное или сложное образование;1;2 дня после Новолуния;1 день после Полнолуния;30;x10 бинокль;50 мм рефрактор
BARBIER;Кратер;;Daniel Barbier;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астрофизик;Франции;Французский;20;20-го века;Lyon;1907;Manosque;1965;Survey on stellar spectrophotometry. Star spectral classification with D. Chalonge. International observation network of atmosphere luminescence.;157,9;157,9 ° Восток;-23,8;23,8 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;II-075-M II-075-H2;66;66;39;39;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
BARRINGER;Кратер;;Daniel M. Barringer;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;геолог;США;Американский;20;20-го века;??;1860;??;1929;Survey on Meteor Crater in Arizona. Author of meteoritic origin of lunar craters.;-149,7;149,7 ° Запад;-28;28 ° Север;Северо-Западный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-030-H2;68;68;40;40;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
BAUDELAIRE;Кратер;;Pierre Charles Baudelaire;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;поэт;Франции;Французский;19;19-го века;??;1821;??;1867;;-89,8;89,8 ° Запад;24,5;24,5 ° Север;Северо-Западный;;VIII;Rцntgen;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;IV-188-H3 IV-196-H3;15;15;9;9;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;14;Полнолуние;6 дней после Последней Четверти;30;x10 бинокль;50 мм рефрактор
BAWA;Кратер;;Bawa;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;женское имя;Африки;Африканский;;;;;;;;123,1;123,1 ° Восток;-23,2;23,2 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;10;10;6;6;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
BECQUEREL;Кратер;;Antoine H. Becquerel;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;физик;Франции;Французский;19;19-го века;Chвtillon sur Loing;1788;Paris;1878;Discoverer of piezoelectricity in 1819 and of a photovoltaic battery in 1839. Conceiver of the electrochimic actinometer.;125,2;125,2 ° Восток;-1,9;1,9 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;65;65;38;38;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
BECVAR;Кратер;;Antonin Becvar;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;астроном;Чехословакии;Чехословацкий;20;20-го века;??;1901;??;1965;Author of several celestial and stellar atlases.;129,7;129,7 ° Восток;40,7;40,7 ° Север;Северо-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;V-158-M V-163-M;67;67;39;39;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
BEIJERINCK;Кратер;;Martinus W. Beijerink;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;ботаник;Нидерландов;Нидерландский;20;20-го века;??;1851;??;1931;??;151,8;151,8 ° Восток;-13,5;13,5 ° Юг;Юго-Восточный;;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;;70;70;41;41;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
BELL;Кратер;;Alexander G. Bell;UAI 1970 ?;Неизвестно;Неизвестно;Неизвестно;изобретатель;Соединенного Королевства;Шотландский;20;20-го века;Edinburgh;1847;Baddeck;1922;Inventor of the telephone in 1876.;-96,4;96,4 ° Запад;21,8;21,8 ° Север;Северо-Западный;;VIII;Rцntgen;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;;IV-196-H3;86;86;51;51;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций.;;;;1;Малоинтересное или сложное образование;14;Полнолуние;6 дней после Последней Четверти;30;x10 бинокль;50 мм рефрактор
