NAME;LUN;NAME_TYPE;IAU_TYPE;TYPE;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;LENGTH_KM;WIDE_KM;LENGTH_ARCSEC;HEIGHT_M;RAPPORT;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;
AEPINUS;AA879582N2503131;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;Franz Maria Ulrich Theodor Hoch;IAU ;22/01/2009 00:00:00;Not known;Not known;Not known;Astronomer;Europe;Germany;18;18th century;?;1724;?;1802;Unknown;-109.686947;250.313053;109 ° 41 ' West;87.958199;87.958° North;Farside;North-West;Peary;16.7447;16.7447;8.3;2438;0.14564495193994;Formation situated near North Pole.;;Fairly steep slopes.;Steep walls;Flat floor riddled with craterlets and one big crater in the South-West.;0;Not observable;0;not observable;not observable;50;50 mm refractor;100 mm refractor;
AGATHARCHIDES;AA198537S3288854;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Pre-Imbrian (From -4.55 billions years to -3.85 billions years) ?;Period source not found;No details;Agatharchide;Mädler (1837);01/01/1935 00:00:00;Not named;Not named;Not named;Geographer and historian;Greece;Greek;-2;2 nd century BC;?;about 100 BC;?;?;?;-31.114619;328.885381;31 ° 7 ' West;-19.853701;19.854° South;Nearside;South-West;Mare Humorum region;50;49;25.9;3428;0.065967639225815;Damaged formation partly submerged by the lava of Oceanus Procellarum.;;Steep slopes bearing many craterlets.;Slightly high walls partially destroyed to the North and ridden by Agatharchides F to the South-West.;Extensive flat floor filled with dark lava.  Ruins of central mountain.;3;Very interesting formation;10;3 days after First Quarter;2 days after Last Quarter;30;10x binoculars;50 mm refractor;
AGRIPPA;AA40964N104741;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Eratosthenian (From -3.2 billions years to -1.1 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Agrippa;Riccioli (1651);01/01/1935 00:00:00;Urselii;Mons Ida;Agrippa;Astronomer;Greece;Greek;1;1 st century;?;about 50;?;?;Observer in 92 of an eclipse of Pleiads by the Moon.;10.474135;10.474135;10 ° 28 ' East;4.096399;4.096° North;Nearside;North-East;East of Mare Tranquillitatis region;46;46;21.8;3255;0.074414374668954;Circular  Formation with destructed shape to the South-West.;Do. ;Steep slopes bearing Agrippa F and Tempel to the East.;Walls in terraces supporting Agrippa H to the North.;Fairly flat floor.  Central mountain.  Hills and debris to the West.  Rille and craterlets.;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor;
AIRY;AA181416S56149;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Pre-Imbrian (From -4.55 billions years to -3.85 billions years) ?;Period source not found;No details;Sir George Bidel Airy;Mädler (1837);01/01/1935 00:00:00;Crequii;Not named;Not named;Astronomer;England;English;19;19 th century;Alnwick;1801;London;1892;Director of the Observatory of Greenwich in 1835. Works on the celestial mechanics. Author of a theory on the diffraction of the light.;5.614858;5.614858;5 ° 37 ' East;-18.141628;18.142° South;Nearside;South-East;East of Catharina crater region;36;37;19.4;3142;0.080784069566329;Wrecked formation forming an aligned trio North - South with Argelander and Vogel.;;Fairly steep slopes bearing Argelander to the North Airy D to the North-West and Airy G to the South-East.;Tormented and high walls ridden to the South by Airy H.;Irregular Slightly widened floor.  Double central mountain.;3;Very interesting formation;7;First Quarter;6 days after Full Moon;30;10x binoculars;50 mm refractor;
AITKEN;AA164430S1729583;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Upper Imbrian (From -3.8 billions years to -3.2 billions years);Wilhelms / 1987 / Geological history of the Moon table;troctolite ;Robert Grant Aitken;IAU 1970 ?;01/01/1970 00:00:00;Not known;Not known;Not known;astronomer;USA;American;20;20 th century;Jackson;1864;Berkeley;1954;Author of New General Catalogue of Double Stars in 1932.;172.958257;172.958257;172 ° 57 ' East;-16.442982;16.443° South;Farside;South-East;Not determined;135;135;64.8;4515;0.034815999061817;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
AKIS;AA200109N3282406;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;Greek female name.;IAU;01/01/1976 00:00:00;Not known;Not known;Not known;Not appliable;Europe;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-31.7594;328.2406;31 ° 46 ' West;20.010862;20.011° North;Nearside;North-West;Aristarchus;2.28179;2.28179;1.1;450;0.197622058992433;Circular formation not very visible.;;Fairly flat slopes;Slight walls.;Concave floor with central hill.;99;Not evaluated in this VMA version;10;Three days after First Quarter;Two days after Last Quarter;150;150 mm reflector;300 mm reflector;
AL-BAKRI;AA143354N202451;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Imbrian (From -3.85 billions years to -3.2 billions years) ?;Period source not found;No details;Abu Ubayd Abd Allah al-Bakri (ex Tacquet A);?;01/01/1976 00:00:00;Not named;Not named;Not named;Geographer;Arabia;Arabian;11;11 th century;Cordoue;1040;Cordoue;1094;Specialist of the North Africa and Arabia.  Author of a 'Dictionary of Geography' and a 'Geographical description of the known world';20.245111;20.245111;20 ° 15 ' East;14.335392;14.335° North;Nearside;North-East;East part of Mare Tranquillitatis;12;12;6.1;2453;0.200966295940682;Isolated circular formation.;;Slightly steep slopes bearing 2 lines of North South oriented crests to the South.;Slightly high walls.;Extensive flat floor filled with lava.;2;Pretty interesting formation;5;5 days after New Moon;4 days after Full Moon;50;50 mm refractor;100 mm refractor;
AL-BIRUNI;AA180713N926162;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Byrne / Personal communication / 2008;No details;Al-Biruni;IAU 1984 ?;01/01/1970 00:00:00;Not known;Not known;Not known;scientist;Iran;Iranian;11;11 th century;Kath;973;Rhazni;1050;Great traveller. Astrologist of Rhazni Sultan in 1017. Civilizations historian. Author of Kitah al Qanun al Mas'udi general astronomy treaty inpired from Ptolemeaus.;92.616176;92.616176;92 ° 37 ' East;18.071294;18.071° North;Librations zone;North-East;Not determined;77;77;40.2;283;0.196716005140991;Circular formation situated in the zone of librations.;Older than Crisium Basin ;Not easily observable.;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor;
AL-KHWARIZMI;AA70219N1070062;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Al-Khwarizmi;IAU 1991 ?;01/01/1973 00:00:00;Not known;Not known;Not known;mathematician;Iraq;Iraqi;9;9 th century;?;?;?;825;?;107.006175;107.006175;107 ° 0 ' East;7.021853;7.022° North;Farside;North-East;Not determined;65;65;28.1;3034;0.087588670573281;Not observable;Do.;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
AL-MARRAKUSHI;AA104467S557703;IAU Named formation;AA;Crater;Craterlet;Meteoritic impact;Copernician (From -1.1 billions years to present days) ?;Period source not found;No details;Al-Marrakushi (ex Langrenus D);?;01/01/1976 00:00:00;Not named;Not named;Not named;Astronomer;Arabia;Arabian;13;13 th century;?;?;?;1262;?;55.770266;55.770266;55 ° 46 ' East;-10.446738;10.447° South;Nearside;South-East;East part of Mare Fecunditatis;8;8;4.2;3342;0.069989765803436;Circular formation with bowl shape.;;Slightly steep slopes bearing a double craterlet to the West and a triple craterlet to the North.;Slightly high walls.;Rounded floor.;2;Pretty interesting formation;3;3 days after New Moon;2 days after Full Moon;50;50 mm refractor;100 mm refractor;
ALAN;AA109331S3538291;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;Irish male name.;IAU;01/01/1976 00:00:00;Not known;Not known;Not known;Not appliable;Europe;Ireland;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-6.170914;353.829086;6 ° 10 ' West;-10.933056;10.933° North;Nearside;South-West;Ptolemaeus;1.43526;1.43526;0.7;3910;0.048628263939085;Squared formation included in Catena Davy.;;Two sides shared with adjacent craterlets.;Steep walls;Concave floor.;99;Not evaluated in this VMA version;8;One day after First Quarter;Last Quarter;200;200 mm reflector;400 mm reflector;
ALBATEGNIUS;AA112400S40092;IAU Named formation;AA;Crater;Walled plain;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Muhammad ibn al-Battani;Riccioli (1651);01/01/1935 00:00:00;Ferdinandi III Imp. Rom.;Mons Didymus;Albategnius;Astronomer;Arabia;Arabian;9;9 th century;Harran;858;Qasr al Djiss;929;Author of the 'Zidj' improving considerably astronomical knowledge of his period. Measure of the obliquity of the Ecliptique.;4.009197;4.009197;4 ° 1 ' East;-11.240026;11.240° South;Nearside;South-East;Ptolemaeus crater region;136;136;65.4;3511;0.062425905765771;Damaged circular formation.;Partly covered by Imbrian ejecta ;Steep slopes riddled with craterlets.;High walls ridden by many craters whose Klein to the West and Albategius B to the North.;Large flat floor.  White spot to the West.  Central mountain.   Depressions and craterlets.;4;Exceptional formation;7;First Quarter;6 days after Full Moon;5;Naked eye;10x binoculars;
ALBERT;AA382987N3250018;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;Male name of German origin.;IAU;14/06/2012 00:00:00;Not known;Not known;Not known;Not appliable;Europe;Germany;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-34.998184;325.001816;34 ° 60 ' West;38.298683;38.299° North;Nearside;North-West;Sinus Iridum;0.1;0.1;0;1716;0.20025615790396;Circular formation not very visible near Luna 17 landing site.;Lunokhod-1;Not described in this VMA version.;;;99;Not evaluated in this VMA version;10;Three days after First Quarter;Two days after Last Quarter;999;Not observable;Not observable;
ALDEN;AA235084S1111141;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Byrne / Personal communication / 2008;No details;Harold L.Alden;IAU 1970 ?;01/01/1970 00:00:00;Not known;Not known;Not known;astronomer;USA;American;20;20 th century;?;1890;?;1964;?;111.114134;111.114134;111 ° 7 ' East;-23.508401;23.508° South;Farside;South-East;Not determined;104;104;55.7;4527;0.034601813769589;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
ALDER;AA486255S1821163;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Lower Imbrian (From -3.85 billions years to -3.8 billions years);Wilhelms / 1987 / Geological history of the Moon table;ol-noritic gabbro;Kurt Alder;IAU 1970 ?;01/01/1979 00:00:00;Not known;Not known;Not known;chemist;Germany;German;20;20 th century;Konigshutte;1902;Koln;1958;Professor in Koln University in 1940. Nobel prize in 1950 with Otto Diels.;-177.883725;182.116275;177 ° 53 ' West;-48.625534;48.626° South;Farside;South-West;Not determined;77;77;41;19;0.191538495307339;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
ALDRIN;AA14059N220899;IAU Named formation;AA;Crater;Craterlet;Meteoritic impact;Formation period not found;Period source not found;No details;Edwin E. Aldrin (ex Sabine B);?;01/01/1970 00:00:00;Not named;Not named;Not named;Astronaut;U. S. A.;American;20;20 th century;?;1930;?;Alive;Pilot of the LEM of the mission Apollo 11.  Second man to have walked on the Moon on 21 July 1969.;22.089946;22.089946;22 ° 5 ' East;1.405851;1.406° North;Nearside;North-East;East part of Mare Tranquillitatis;3;3;1.4;4313;0.038709607465264;Isolated circular formation with bowl shape.;;Slightly steep slopes.;Slightly high walls.;Rounded floor.;1;Low interest or difficult formation;5;5 days after New Moon;4 days after Full Moon;100;100 mm reflector;200 mm reflector;
ALEKHIN;AA679440S2281476;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Pre-Nectarian (From -4.55 billions years to -3.92 billions years);Wilhelms and Byrne / 2009;No details;Nikolaj P. Alekhin;IAU 1970 ?;01/01/1970 00:00:00;Not known;Not known;Not known;engineer;USSR;Soviet;20;20 th century;?;1913;?;1964;Rockets designer.;-131.852393;228.147607;131 ° 51 ' West;-67.944046;67.944° South;Farside;South-West;Not determined;70;70;37.4;3935;0.047918221325131;Not observable;;Not described in this VMA version.;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable;
ALEXANDER;AA402515N136932;IAU Named formation;AA;Crater;Walled plain;Meteoritic impact;Pre-Nectarian (From -4.55 billions years to -3.92 billions years);Wilhelms and Byrne / 2009;No details;Alexandre le Grand;Birt / Lee (1865);01/01/1935 00:00:00;Mons Aemus;Not named;Calippus;King;Macedony;Macedonian;-4;4  th century BC;?;356 BC;Babylone;323 av JC;King of Macedoine from 336 to 323 BC. Worked for the expansion of his kingdom to India. Seized Babylone and burnt Persepolis.;13.693154;13.693154;13 ° 42 ' East;40.251521;40.252° North;Nearside;North-East;North of Mare Serenitatis region;83;82;47.4;554;0.198028478944053;Completely wrecked formation.  Triangular form.;;Very damaged slopes bearing Calippus to the South-West.;Slightly high walls collapsed to the East.;Flat floor filled with dark lava.  Hills rilles and craterlets.  Two white spots.;2;Pretty interesting formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor;
ALFRAGANUS;AA54217S189706;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Copernician (From -1.1 billions years to present days);Period source not found;No details;Muhammad ibn Kathir Al-Farrhanï;?;01/01/1935 00:00:00;Not named;Not named;Not named;Astronomer;Persia;Persian;9;9 th century;Fergana;?;?;?;Author of a 'Book of the science of stars and celestial movements '.;18.970617;18.970617;18 ° 58 ' East;-5.421661;5.422° South;Nearside;South-East;Theophilus crater North-West region;22;21;10.2;3826;0.051140164853352;Bright circular formation with rays.;;Steep slopes bearing Alfraganus E and H to the North and Alfraganus K and M to the East.;Very high walls.;Slightly extensive and flat floor.;3;Very interesting formation;5;5 days after New Moon;4 days after Full Moon;30;10x binoculars;50 mm refractor;
ALHAZEN;AA159148N718279;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Lower Imbrian (From -3.85 billions years to -3.8 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Ibn al-Haytham (or Abu Ali al-Hasan);Schröter (1802);01/01/1935 00:00:00;Not named;Not named;Not named;Mathematician;Arabia;Arabian;10;10 th century;Bassora;965;Le Caire;1039;Discoverer of laws of reflection refraction and propagation of the light.  Author of 92 known works with many about astronomy.;71.827898;71.827898;71 ° 50 ' East;15.914783;15.915° North;Nearside;North-East;Moon East-North-East limb;33;33;17.3;4108;0.043342251799505;Circular formation located on the East slope of Mare Crisium.;Possibly Nectarian but younger than Crisium Basin ;Fairly steep slopes.;High walls in light terraces.;Flat floor.;3;Very interesting formation;2;2 days after New Moon;1 day after Full Moon;30;10x binoculars;50 mm refractor;
ALIACENSIS;AA305952S51308;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Pierre d'Ailly;Riccioli (1651);01/01/1935 00:00:00;Elisabethae Palat. Fil.;Mons Antilibanus;Aliacensis;Geographer and theologian;France;French;14;14 th century;Compiègne;1350;Avignon;1420;Author of a work on the reform of the Church in 1416 and of 'Imago Mundi' work evoking the sphericity of the Earth.;5.130767;5.130767;5 ° 8 ' East;-30.595193;30.595° South;Nearside;South-East;Tycho crater East region;80;80;39.8;2592;0.126324773003415;Circular formation forming a remarkable couple with Werner.;Partly covered by Imbrian ejecta. typical ;Steep slopes bearing Werner to the North-West a couple of craters to the South-East and Aliacensis B to the West.;Very high walls supporting an anonymous crater to the South.;Flat floor.  Small mountain off-center.  Wrinkle ridges and craterlets.;3;Very interesting formation;7;First Quarter;6 days after Full Moon;30;10x binoculars;50 mm refractor;
ALMANON;AA168450S151351;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years);Wilhelms / 1987 / Geological history of the Moon table;No details;Abd Allah al-Ma'mun;Riccioli (1651);01/01/1935 00:00:00;Isenburgi;Mons Antitaurus;Almanon;Caliph;Persia;Persian;9;9 th century;Bagdad;786;Tarsus;833;Son of Harun Al Raschid. Organizer of the translation in Arabic of scientific and philosophical works of old Greek authors.;15.135076;15.135076;15 ° 8 ' East;-16.845028;16.845° South;Nearside;South-East;East of Catharina crater region;50;49;23.8;3899;0.048952135052364;Circular formation.;Partly covered by Imbrian ejecta ;Fairly steep slopes overlapped to the North-East by Almanon C to the South by Almanon A and B and bearing Catena Abulfeda to the North.;Walls highetr to the East than to the West.;Fairly flat floor.  Hills and line of crests. Craterlets.;3;Very interesting formation;6;6 days after New Moon;5 days after Full Moon;30;10x binoculars;50 mm refractor;
ALOHA;AA297926N3061204;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Formation period not found;Period source not found;No details;Hawaiian female first name.;IAU;01/01/1976 00:00:00;Not known;Not known;Not known;Not appliable;Oceania;Hawaii;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;-53.87959;306.12041;53 ° 53 ' West;29.792609;29.793° North;Nearside;North-West;Seleucus;2.54796;2.54796;1.2;504;0.197843357295942;Few deep circular formation on the North slope of Montes Agricola.;;Fairly steep slopes.;Steep walls collapsed in the West and bearing two craterlets.;Flat floor with wrinkles.;99;Not evaluated in this VMA version;12;Five days after First Quarter;Four days after Last Quarter;150;150 mm reflector;300 mm reflector;
ALPETRAGIUS;AA160480S3554896;IAU Named formation;AA;Crater;Not determined;Meteoritic impact;Nectarian (From -3.92 billions years to -3.85 billions years) ?;Period source not found;No details;Nur ed-din al Betrugi;Riccioli (1651);01/01/1935 00:00:00;Mazarinii;Mons Phoenix;Alpetragius;Astronomer;Arabia;Arabian;12;12 th century;?;?;?;?;Tried to improve the system of Ptolemee.;-4.510399;355.489601;4 ° 31 ' West;-16.047972;16.048° South;Nearside;South-West;Arzachel crater region;40;40;20;3169;0.079197015684789;Circular formation situated between Alphonsus and Arzachel.;;Steep slopes bearing the ghost crater Alpetragius X to the North-West and Alpetragius M and N to the South-East.;Very high walls in terraces.;Tormented floor little widened.  Important central mountain.;4;Exceptional formation;7;First Quarter;6 days after Full Moon;30;10x binoculars;50 mm refractor;
