NAME;TYPE;PERIOD;Zénon;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
LEWIS;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Químico;E. U. A.;norte-americano;20;Século 20;Weymouth;1875;Berkeley;1946;Autor da teoria da ligação química em 1916. Autor da definição geral dos ácidos e alcalínos. Criador do termo fotão em 1926.;-113,8;113,8 ° Oeste;-18,5;18,5 ° Sul;Sudoeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;42;42;25;25;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
LEY;Cratera;;Zénon;UAI 19XX ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Engenheiro;E. U. A.;norte-americano;20;Século 20;??;1906;??;1969;Colaborador de Werner von Braun.;154,9;154,9 ° Este;42,2;42,2 ° Norte;Nordeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;79;79;46;46;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
LI PO;Cratera;;Zénon;UAI 1979 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Poeta;China;chinês;8;Século 8º;Turkestan;701;Jiangsu;762;Grande poeta da dinastia Tang.;90,6;90,6 ° Este;-3,5;3,5 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;15;15;9;9;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular situada na zona das librações.;;;;1;Formação de baixo interesse ou difícil;1;2 dias após a Lua Nova;1 dia após a Lua Cheia;30;Binóculo x10;Refractor 50 mm
LINDBLAD;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Astrónomo;Suécia;sueco;20;Século 20;Orebro;1895;Stockholm;1965;Numerosos trabalhos sobre o Sol,  espectros e movimentos das estrelas. Descobridor com Oort em 1927 do movimento de rotação da Galáxia.;-98,8;98,8 ° Oeste;70,4;70,4 ° Norte;Noroeste;;I;Brianchon;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;66;66;39;39;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular situada na zona das librações.;;;;1;Formação de baixo interesse ou difícil;14;Lua Cheia;6 dias após o Quarto Minguante;30;Binóculo x10;Refractor 50 mm
LIPPMANN;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Físico;França;francês;20;Século 20;Hallerich;1845;On sea;1921;Inventor do electrómetro capilar. Numerosos trabalhos sobre piezoelectricidade e pilhas eléctricas. Inventor de um método de fotografia a cores. Membro da Academia das ciências em 1886. Prémio Nobel em 1908.;-114,9;114,9 ° Oeste;-56;56 ° Norte;Noroeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;V-021-M;160;160;94;94;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
LIPSKIY;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Selenógrafo;U. R. S. S.;soviético;20;Século 20;??;1909;??;1978;;-179,5;179,5 ° Oeste;-2,2;2,2 ° Sul;Sudoeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;80;80;47;47;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
LITKE;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Geógrafo;Russia;russo;19;Século 19;??;1797;??;1882;;123,1;123,1 ° Este;-16,8;16,8 ° Sul;Sudeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;I-136-M;39;39;23;23;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
LOBACHEVSKIY;Cratera;;Zénon;UAI 1970 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Matemático;Russia;russo;19;Século 19;Nijni-Novgorod;1792;Kazan;1856;"Inventor de uma nova geometria não euclidiana denominada ""hiperbólica"". Autor de ""Pangeometria"" em 1856. ";112,6;112,6 ° Este;9,9;9,9 ° Norte;Nordeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;84;84;49;49;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
LODYGIN;Cratera;;Zénon;UAI 1976 ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Inventor;Russia;russo;20;Século 20;??;1847;??;1923;;-146,8;146,8 ° Oeste;-17,7;17,7 ° Sul;Sudoeste;;Sem mapa;;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;I-028-M;62;62;36;36;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Não observável;;;;0;Não observável;0;Não observável;Não observável;999;Não observável;Não observável
LOMONOSOV;Cratera;;Zénon;UAI 19XX ?;Nome não atribuído;Nome não atribuído;Nome não atribuído;Físico;Russia;russo;18;Século 18;Denissovka;1711;Saint-Petersburg;1765;Professor de Física da universidade São Petesburgo. Numerosas investigações sobre o ar, a matéria e a electricidade. Autor de uma reforma da estrutura poética.;98;98 ° Este;27,3;27,3 ° Norte;Nordeste;;III;Mare Marginis;Sem mapa ou imagem;Sem mapa ou imagem;Sem mapa ou imagem;;;92;92;54;54;Desconhecido;Desconhecido;Altura desconhecida. Cálculo não possível.;Altura desconhecida. Desenho não possível.;Formação circular situada na zona das librações.;;;;1;Formação de baixo interesse ou difícil;1;2 dias após a Lua Nova;1 dia após a Lua Cheia;30;Binóculo x10;Refractor 50 mm
