NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGHTKM;WIDEKM;LENGHTMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
PURKYNE S;Кратер;??;Jan Evangelista Purkynj;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;физиолог;Чехословакии;Чехословацкий;19;19-го века;Libochovice;1787;Prague;1869;Numerous works on histology, pharmacology et embryology. Pioneer of microtome use.;90,6;90,6 ° Восток;-1,8;1,8 ° Юг;Юго-Восточный;Не определена;??;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;34;34;20;20;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций дальней стороны.;;;;1;Малоинтересное или сложное образование;2;2 дня после Новолуния;1 день после Полнолуния;30;10x бинокль;50 мм рефрактор
PURKYNE U;Кратер;??;Jan Evangelista Purkynj;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;физиолог;Чехословакии;Чехословацкий;19;19-го века;Libochovice;1787;Prague;1869;Numerous works on histology, pharmacology et embryology. Pioneer of microtome use.;91,9;91,9 ° Восток;-0,7;0,7 ° Юг;Юго-Восточный;Не определена;??;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;51;51;30;30;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций дальней стороны.;;;;1;Малоинтересное или сложное образование;2;2 дня после Новолуния;1 день после Полнолуния;30;10x бинокль;50 мм рефрактор
PURKYNE V;Кратер;??;Jan Evangelista Purkynj;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;физиолог;Чехословакии;Чехословацкий;19;19-го века;Libochovice;1787;Prague;1869;Numerous works on histology, pharmacology et embryology. Pioneer of microtome use.;92,7;92,7 ° Восток;-0,8;0,8 ° Юг;Юго-Восточный;Не определена;??;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;24;24;14;14;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Округлое образование, расположенное в зоне либраций дальней стороны.;;;;1;Малоинтересное или сложное образование;2;2 дня после Новолуния;1 день после Полнолуния;30;10x бинокль;50 мм рефрактор
QUETELET T;Кратер;??;Lambert Adolphe J.;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;математик;Бельгии;Бельгийский;19;19-го века;Gand;1796;Brussels;1874;Application des statistiques aux sciences sociales et des probabilitйs aux sciences politiques et l'anthropomйtrie. Directeur de l'Observatoire de Bruxelles en 1874.;-137,6;137,6 ° Запад;42,8;42,8 ° Север;Северо-Западный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;46;46;27;27;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
RACAH B;Кратер;??;Giulio Racah;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;физик;Израиля;Израильский;20;20-го века;??;1909;??;1965;??;-178,4;178,4 ° Запад;-10,5;10,5 ° Юг;Юго-Западный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;27;27;16;16;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
RACAH J;Кратер;??;Giulio Racah;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;физик;Израиля;Израильский;20;20-го века;??;1909;??;1965;??;-177,4;177,4 ° Запад;-16,5;16,5 ° Юг;Юго-Западный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;37;37;22;22;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
RACAH K;Кратер;??;Giulio Racah;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;физик;Израиля;Израильский;20;20-го века;??;1909;??;1965;??;-178,6;178,6 ° Запад;-16,8;16,8 ° Юг;Юго-Западный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;52;52;31;31;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
RACAH N;Кратер;??;Giulio Racah;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;физик;Израиля;Израильский;20;20-го века;??;1909;??;1965;??;179;179 ° Восток;-17;17 ° Юг;Юго-Восточный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;35;35;21;21;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
RACAH T;Кратер;??;Giulio Racah;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;физик;Израиля;Израильский;20;20-го века;??;1909;??;1965;??;177,5;177,5 ° Восток;-13,8;13,8 ° Юг;Юго-Восточный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;21;21;12;12;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
RACAH U;Кратер;??;Giulio Racah;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;физик;Израиля;Израильский;20;20-го века;??;1909;??;1965;??;177,2;177,2 ° Восток;-13,2;13,2 ° Юг;Юго-Восточный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;25;25;15;15;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
RACAH W;Кратер;??;Giulio Racah;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;физик;Израиля;Израильский;20;20-го века;??;1909;??;1965;??;178,9;178,9 ° Восток;-12,5;12,5 ° Юг;Юго-Восточный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;39;39;23;23;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
RACAH X;Кратер;??;Giulio Racah;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;физик;Израиля;Израильский;20;20-го века;??;1909;??;1965;??;179;179 ° Восток;-10,2;10,2 ° Юг;Юго-Восточный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;14;14;8;8;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
RAIMOND K;Кратер;??;J. J., Junior Raimond.;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;астроном;Нидерландов;Нидерландский;20;20-го века;??;1903;??;1961;??;-158,2;158,2 ° Запад;13,3;13,3 ° Север;Северо-Западный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;34;34;20;20;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
RAIMOND Q;Кратер;??;J. J., Junior Raimond.;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;астроном;Нидерландов;Нидерландский;20;20-го века;??;1903;??;1961;??;-161,7;161,7 ° Запад;11,6;11,6 ° Север;Северо-Западный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;32;32;19;19;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
RAMSAY U;Кратер;??;Sir William Ramsay;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;химик;Соединенного Королевства;Британский;20;20-го века;Glasgow;1852;High Wycombe;1916;Explanation of brownian motion on 1879. Discoverer of rare gases of air on 1898 with Travers. Discoverer of radon on 1910 with Whytlaw Gray. Nobel laureate on 1904.;142,4;142,4 ° Восток;-40;40 ° Юг;Юго-Восточный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;23;23;14;14;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
RASPLETIN;Кратер;??;Aleksandr Andreyevich Raspletin;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;инженер;СССР;Советский;20;20-го века;??;1921;??;1975;Radio transmissions specialist.;151,8;151,8 ° Восток;-22,5;22,5 ° Юг;Юго-Восточный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;49;49;29;29;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
RAYET H;Кратер;??;George A. P. Rayet;Andersson / Whitaker 1982;В то время неизвестно;В то время неизвестно;В то время неизвестно;астроном;Франции;Французский;19;19-го века;Bordeaux;1839;Floirac;1906;Director of Bordeaux Observatory on 1839. Discoverer of an hot stars type with strog emission lines with Charles Wolf. Works on solar spectroscopy.;116,7;116,7 ° Восток;43,4;43,4 ° Север;Северо-Восточный;Не определена;Нет карты;;Нет карты или изображения;Нет карты или изображения;Нет карты или изображения;Нет статьи;??;16;16;9;9;Неизвестно;Неизвестно;Неизвестна высота. Невозможно вычислить.;Неизвестна высота. Невозможно изобразить.;Нельзя увидеть;;;;0;Нельзя увидеть;0;Нельзя увидеть;Нельзя увидеть;999;Нельзя увидеть;Нельзя увидеть
