NAME;TYPE;PERIOD;NAMEDETAIL;NAMEORIGIN;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURYN;CENTURY;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS_UK;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;AREA;RUKL;RUKLC;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTHKM;WIDEKM;LENGTHMI;WIDEMI;HEIGHTM;HEIGHTFE;RAPPORT;PROFIL;GENERAL;SLOPES;WALLS;FLOOR;INTERESTN;INTERESTC;LUNATION;MOONDAYS;MOONDAYM;DIAMINST;THINSTRU;PRINSTRU
BABCOCK;Crater;;Harold D. Babcock;UAI 1970 ?;Not known;Not known;Not known;astronomer;USA;American;20;20 th century;??;1882;??;1968;??;93,9;93,9 ° East;4,2;4,2 ° North;North-East;;III;Mare Marginis;No map or picture;No map or picture;No map or picture;;;99;99;58;58;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
BACKLUND;Crater;;Oscar A. Backlund;UAI 1970 ?;Not known;Not known;Not known;astronomer;Sweden;Swedish;19;19 th century;Karlstad;1846;Poulkovo;1916;Director of Pulkovo observatory in 1895. Survey of celestial mechanic.;103;103 ° East;-16;16 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;II-196-H3 II-196-M;75;75;44;44;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the librations zone;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
BALANDIN;Crater;;A. A. Balandin;UAI 1970 ?;Not known;Not known;Not known;chemist;USSR;Soviet;20;20 th century;??;1914;??;1971;??;152,6;152,6 ° East;-18,9;18,9 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;;12;12;7;7;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
BALDET;Crater;;Francois Baldet;UAI 1970 ?;Not known;Not known;Not known;astronomer;France;French;20;20 th century;??;1885;??;1964;??;-151,1;151,1 ° West;-53,3;53,3 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;V-030-H1;55;55;32;32;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
BALZAC;Crater;;Honoré de Balzac;UAI 1970 ?;Not known;Not known;Not known;writer;France;French;19;19 th century;??;1799;??;1850;Author of the Human Comedy.;95;95 ° East;-8;8 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;39;39;23;23;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the librations zone;;;;1;Low interest or difficult formation;1;2 days after New Moon;1 day after Full Moon;30;x10 binoculars;50 mm refractor
BARBIER;Crater;;Daniel Barbier;UAI 1970 ?;Not known;Not known;Not known;astrophysicist;France;French;20;20 th century;Lyon;1907;Manosque;1965;Survey on stellar spectrophotometry. Star spectral classification with D. Chalonge. International observation network of atmosphere luminescence.;157,9;157,9 ° East;-23,8;23,8 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;II-075-M II-075-H2;66;66;39;39;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
BARRINGER;Crater;;Daniel M. Barringer;UAI 1970 ?;Not known;Not known;Not known;geologist;USA;American;20;20 th century;??;1860;??;1929;Survey on Meteor Crater in Arizona. Author of meteoritic origin of lunar craters.;-149,7;149,7 ° West;-28;28 ° North;North-West;;No map;;No map or picture;No map or picture;No map or picture;;V-030-H2;68;68;40;40;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
BAUDELAIRE;Crater;;Pierre Charles Baudelaire;UAI 1970 ?;Not known;Not known;Not known;poet;France;French;19;19 th century;??;1821;??;1867;;-89,8;89,8 ° West;24,5;24,5 ° North;North-West;;VIII;Röntgen;No map or picture;No map or picture;No map or picture;;IV-188-H3 IV-196-H3;15;15;9;9;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;14;Full Moon;6 days after Last Quarter;30;x10 binoculars;50 mm refractor
BAWA;Crater;;Bawa;UAI 1970 ?;Not known;Not known;Not known;female name;Africa;African;;;;;;;;123,1;123,1 ° East;-23,2;23,2 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;;10;10;6;6;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
BECQUEREL;Crater;;Antoine H. Becquerel;UAI 1970 ?;Not known;Not known;Not known;physicist;France;French;19;19 th century;Châtillon sur Loing;1788;Paris;1878;Discoverer of piezoelectricity in 1819 and of a photovoltaic battery in 1839. Conceiver of the electrochimic actinometer. ;125,2;125,2 ° East;-1,9;1,9 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;;65;65;38;38;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
BECVAR;Crater;;Antonin Becvar;UAI 1970 ?;Not known;Not known;Not known;astronomer;Czechoslovakia;Czechoslovakian;20;20 th century;??;1901;??;1965;Author of several celestial and stellar atlases.;129,7;129,7 ° East;40,7;40,7 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;V-158-M V-163-M;67;67;39;39;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
BEIJERINCK;Crater;;Martinus W. Beijerink;UAI 1970 ?;Not known;Not known;Not known;botanist;Netherands;Dutch;20;20 th century;??;1851;??;1931;??;151,8;151,8 ° East;-13,5;13,5 ° South;South-East;;No map;;No map or picture;No map or picture;No map or picture;;;70;70;41;41;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
BELL;Crater;;Alexander G. Bell;UAI 1970 ?;Not known;Not known;Not known;inventor;Royaume Uni;Scottish;20;20 th century;Edinburgh;1847;Baddeck;1922;Inventor of the telephone in 1876.;-96,4;96,4 ° West;21,8;21,8 ° North;North-West;;VIII;Röntgen;No map or picture;No map or picture;No map or picture;;IV-196-H3;86;86;51;51;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Circular formation situated in the zone of librations.;;;;1;Low interest or difficult formation;14;Full Moon;6 days after Last Quarter;30;x10 binoculars;50 mm refractor
BELLINSGAUZEN;Crater;;Faddey F. Bellingshausen;UAI 1970 ?;Not known;Not known;Not known;explorer;Russia;Russian;19;19 th century;??;1778;??;1852;??;-164,6;164,6 ° West;-60,6;60,6 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;63;63;37;37;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
BELOPOL'SKIY;Crater;;Aristarch A. Belopol'skiy;UAI 1971 ?;Not known;Not known;Not known;astronomer;USSR;Soviet;20;20 th century;??;1854;??;1934;??;-128,1;128,1 ° West;-17,2;17,2 ° South;South-West;;No map;;No map or picture;No map or picture;No map or picture;;;59;59;35;35;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
BELYAEV;Crater;;Pavel I. Belyaev;UAI 1970 ?;Not known;Not known;Not known;cosmonaut;USSR;Soviet;20;20 th century;??;1925;??;1970;Voskhod 2 mission cosmonaut with Leonov on the march 18 1965.;143,5;143,5 ° East;23,3;23,3 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;54;54;32;32;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
BENEDICT;Crater;;F. G. Benedict;UAI 1985 ?;Not known;Not known;Not known;chemist;USA;American;20;20 th century;??;1870;??;1957;??;141,5;141,5 ° East;4,4;4,4 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;14;14;8;8;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
BERGMAN;Crater;;Torbern Olof Bergman;UAI 1970 ?;Not known;Not known;Not known;chemist;Sweden;Swedish;18;18 th century;Katrineberg;1735;Medevi;1784;Mineralogist. Discoverer of nickel, wolfram and of carbonates composition.;137,5;137,5 ° East;7;7 ° North;North-East;;No map;;No map or picture;No map or picture;No map or picture;;;21;21;12;12;Unknown;Unknown;Unknown height. Impossible calculation.;Unknown height. Impossible drawing.;Not observable;;;;0;Not observable;0;Not observable;Not observable;999;Not observable;Not observable
