NAME;LUN;LUN_REDUCED;NAME_TYPE;TYPE;TYPE_IAU;SUBTYPE;PROCESS;PERIOD;PERIOD_SOURCE;GEOLOGY;NAME_DETAIL;NAME_ORIGIN;IAU_APPROVAL;LANGRENUS;HEVELIUS;RICCIOLI;WORK;COUNTRY;NATIONLITY;CENTURY_N;CENTURY_C;BIRTH_PLACE;BIRTH_DATE;DEATH_PLACE;DEATH_DATE;FACTS;LONGI_N;LONGI_N_360;LONGI_C;LATI_N;LATI_C;FACE;QUADRANT;AREA;RUKL;RUKL_C;VISCARDY;HATFIELD;WESTFALL;WOOD;LOPAM;LENGTH_KM;WIDE_KM;LENGTH_MI;WIDE_MI;LENGTH_ARCSEC;HEIGHT_M;HEIGHT_FE;RAPPORT;PROFIL;FLOOR_DIAMETER_KM;PEAK_HEIGHT_KM;PEAK_DIAMETER_KM;EXCAVATION_DEPTH_KM;MELTING_DEPTH_KM;EJECTA_THICK_M_1RADIUS;EJECTA_THICK_M_3RADIUS;EJECTA_THICK_M_5RADIUS;RADAR_BRIGHT_HALO_RADIUS;RADAR_DARK_HALO_RADIUS;GENERAL_1;GENERAL_2;SLOPES;WALLS;FLOOR;ELGER_1895;INTEREST_N;INTEREST_C;LUNATION;MOONDAY_S;MOONDAY_M;DIAM_INST;TH_INSTRU;PR_INSTRU;IAU_FEATURE_NAME;IAU_CLEAN_FEATURE_NAME;IAU_FEATURE_ID;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;IAU_NORTHERN_LATITUDE;IAU_SOUTHERN_LATITUDE;IAU_EASTERN_LONGITUDE;IAU_WESTERN_LONGITUDE;IAU_COORDINATE_SYSTEM;IAU_CONTINENT;IAU_ETHNICITY;IAU_FEATURE_TYPE;IAU_FEATURE_TYPE_CODE;IAU_QUAD_NAME;IAU_QUAD_CODE;IAU_APPROVAL_STATUS;IAU_APPROVAL_DATE;IAU_REFERENCE;IAU_ORIGIN;IAU_LINK;
DOME GRIMALDI L 3;TH961S6706W;961S6706W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Grimaldi L n° 3;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and physicist;Italy;Italian;17;17 th century;Bologne;1618;Bologne;1663;Jesuit.  Discoverer of luminous interferences and the diffraction of the light in 1650.  Author of a map of the Moon used by Riccioli in 1651.;-67.06282749;292.94;67 ° 4 '  West;-9.613438289;9 ° 37 '  South;Nearside;South - West;Moon West limb;39;Grimaldi;226;3c4;067C 075C 080C Q3W, 233C 237C 247C;MM183;IV-161-H3 IV-167-M IV-162-M IV-168-M IV-168-H3;?;?;?;?;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;SW of crater Grimaldi L;In crater-pocked valley of ghost crater Rocca W south of Grimaldi;;;;Not described;3;Very interesting formation;13;6 days after First Quarter;5 days after Last Quarter;999;Not determined;Not determined;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME GRUITHUISEN E 1;TH3637N4496W;3637N4496W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Gruithuisen E;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and naturalist;Germany;German;19;19 th century;Haltenberg;1774;?;1852;Observer of the Moon believing it inhabited.  Author of the theory of the meteoritic origin of lunar craters in 1840.;-44.96336998;315.04;44 ° 58 '  West;36.37018758;36 ° 22 '  North;Nearside;North - West;Noth part of Oceanus Procellarum;9;Mairan;358;10c2 / 14g2;040N 048N 055N 061N 205N 213N;MM37;IV-145-H1 IV-151-H1;10;10;6.1;6.1;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;SE of crater Gruithuisen E;Hemispherical;;;;Not described;3;Very interesting formation;11;4 days after First Quarter;3 days after Last Quarter;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME GRUITHUISEN GAMMA 1;TH3708N4096W;3708N4096W;Registered feature;Dome;TH;Volcano;Extrusive volcanism;N / A;N / A;N / A;Dome of Gruithuisen Gamma n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and naturalist;Germany;German;19;19 th century;Haltenberg;1774;?;1852;Observer of the Moon believing it inhabited.  Author of the theory of the meteoritic origin of lunar craters in 1840.;-40.96524435;319.03;40 ° 58 '  West;37.08506032;37 ° 5 '  North;Nearside;North - West;Noth part of Oceanus Procellarum;9;Mairan;358;10c2 / 14g2;040N 048N 055N 061N 205N 213N;MM37;IV-145-H1 IV-151-H1;8;8;4.9;4.9;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;NE of Mons Gruithuisen Gamma;Hemispherical medium-size dome;;;;Not described;3;Very interesting formation;11;4 days after First Quarter;3 days after Last Quarter;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME GRUITHUISEN GAMMA 2;TH3665N4134W;3665N4134W;Registered feature;Dome;TH;Volcano;Extrusive volcanism;N / A;N / A;N / A;Dome of Gruithuisen Gamma n° 2;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and naturalist;Germany;German;19;19 th century;Haltenberg;1774;?;1852;Observer of the Moon believing it inhabited.  Author of the theory of the meteoritic origin of lunar craters in 1840.;-41.34940038;318.65;41 ° 21 '  West;36.65533927;36 ° 39 '  North;Nearside;North - West;Noth part of Oceanus Procellarum;9;Mairan;358;10c2 / 14g2;040N 048N 055N 061N 205N 213N;MM37;IV-145-H1 IV-151-H1;5;5;3;3;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;E of Mons Gruithuisen Gamma;Small, hemispherical dome;;;;Not described;3;Very interesting formation;11;4 days after First Quarter;3 days after Last Quarter;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME GRUITHUISEN ZETA;TH3559N3938W;3559N3938W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Gruithuisen Zeta n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer and naturalist;Germany;German;19;19 th century;Haltenberg;1774;?;1852;Observer of the Moon believing it inhabited.  Author of the theory of the meteoritic origin of lunar craters in 1840.;-39.38580148;320.61;39 ° 23 '  West;35.59133528;35 ° 35 '  North;Nearside;North - West;Noth part of Oceanus Procellarum;9;Mairan;358;10c2 / 14g2;040N 048N 055N 061N 205N 213N;MM37;IV-145-H1 IV-151-H1;3;3;1.8;1.8;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;On Gruithuisen Zeta;Small, hemispherical dome complex, at least two summit craterpits, near northeastern end of plateau;;;;Not described;3;Very interesting formation;11;4 days after First Quarter;3 days after Last Quarter;100;100 mm refractor;200 mm reflector;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME GUTENBERG 1;TH961S3881E;961S3881E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Gutenberg n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Goldsmith;Germany;German;15;15 th century;Mayence;1398;Mayence;1468;Typographic character inventor in lead and the press to print to 1440. Printed the first Bible in series.  Ennobled in 1465 by the archbishop of Mayence.;38.81459037;38.81;38 ° 49 '  East;-9.613438289;9 ° 37 '  South;Nearside;South- East;East part of Mare Fecunditatis;48;Messier;190;;323C 328C 131C 135C/S;;IV-065-H3 IV-072-H3;13;13;7.9;7.9;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;W of crater Gutenberg;Irregular base, steep slope and may exceed 5 degree gradient, hemispherical dome, 2 summit craterpits;;;;Not described;3;Very interesting formation;5;5 days after New Moon;4 days after Full Moon;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME GUTENBERG 2;TH897S3902E;897S3902E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Gutenberg n° 2;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Goldsmith;Germany;German;15;15 th century;Mayence;1398;Mayence;1468;Typographic character inventor in lead and the press to print to 1440. Printed the first Bible in series.  Ennobled in 1465 by the archbishop of Mayence.;39.02869313;39.03;39 ° 2 '  East;-8.974797569;8 ° 58 '  South;Nearside;South- East;East part of Mare Fecunditatis;48;Messier;190;;323C 328C 131C 135C/S;;IV-065-H3 IV-072-H3;6.2;6.2;3.8;3.8;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;W of crater Gutenberg;Not described;;;;Not described;3;Very interesting formation;4;4 days after New Moon;3 days after Full Moon;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME GYLDEN 1;TH568S5E;568S5E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Gylden n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer;Sweden;Swedish;19;19 th century;Helsinki;1841;Stockholm;1896;Director of the observatory of Stockholm.  Works on the lunar librations and planetary perturbations.;0.057578648;0.06;0 ° 57 '  East;-5.681588951;5 ° 41 '  South;Nearside;South- East;Ptolemaeus crater region;44;Ptolemaeus;238;15 e6;003C 009C 174C 179C;;IV-101-H3 IV-108-H3;6;6;3.6;3.6;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;Inside crater GlydÃ©n;Not described;;;;Not described;3;Very interesting formation;7;First Quarter;6 days after Full Moon;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME GYLDEN 2;TH522S28E;522S28E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Gylden n° 2;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer;Sweden;Swedish;19;19 th century;Helsinki;1841;Stockholm;1896;Director of the observatory of Stockholm.  Works on the lunar librations and planetary perturbations.;0.28767369;0.29;0 ° 43 '  East;-5.221138957;5 ° 13 '  South;Nearside;South- East;Ptolemaeus crater region;44;Ptolemaeus;238;15 e6;003C 009C 174C 179C;;IV-101-H3 IV-108-H3;2.5;2.5;1.5;1.5;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;Inside crater GlydÃ©n;Not described;;;;Not described;3;Very interesting formation;7;First Quarter;6 days after Full Moon;150;150 mm refractor;300 mm reflector;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME GYLDEN 3;TH522S5E;522S5E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Gylden n° 3;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer;Sweden;Swedish;19;19 th century;Helsinki;1841;Stockholm;1896;Director of the observatory of Stockholm.  Works on the lunar librations and planetary perturbations.;0.057534506;0.06;0 ° 57 '  East;-5.221138957;5 ° 13 '  South;Nearside;South- East;Ptolemaeus crater region;44;Ptolemaeus;238;15 e6;003C 009C 174C 179C;;IV-101-H3 IV-108-H3;2.5;2.5;1.5;1.5;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;Inside crater GlydÃ©n;Hemispherical;;;;Not described;3;Very interesting formation;7;First Quarter;6 days after Full Moon;150;150 mm refractor;300 mm reflector;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME GYLDEN 4;TH493S17E;493S17E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Gylden n° 4;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer;Sweden;Swedish;19;19 th century;Helsinki;1841;Stockholm;1896;Director of the observatory of Stockholm.  Works on the lunar librations and planetary perturbations.;0.172526786;0.17;0 ° 50 '  East;-4.93353123;4 ° 56 '  South;Nearside;South- East;Ptolemaeus crater region;44;Ptolemaeus;238;15 e6;003C 009C 174C 179C;;IV-101-H3 IV-108-H3;2.5;2.5;1.5;1.5;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;Inside crater GlydÃ©n;Not described;;;;Not described;3;Very interesting formation;7;First Quarter;6 days after Full Moon;150;150 mm refractor;300 mm reflector;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME HAHN A 1;TH3166N6833E;3166N6833E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Hahn A n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer;Germany;German;18;18 th century;?;1741;?;1805;??;68.33885019;68.34;68 ° 20 '  East;31.66824325;31 ° 40 '  North;Nearside;North - East;Moon North-East limb;16;Gauss;306;14a3 / 16g3;291N 303C Q1ENE 099N 105N;;IV-165-H2;?;?;?;?;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N of crater Hahn A;Large irregular complex;;;;Not described;3;Very interesting formation;2;2 days after New Moon;1 day after Full Moon;999;Not determined;Not determined;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME HALL J 1;TH3530N3559E;3530N3559E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Hall J n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer;U. S. A.;American;19;19 th century;Goshen;1829;Annapolis;1907;Comets and asteroid Specialist.  Discovers satellites of Mars Phobos and Deimos in 1877. Works on Hyperion double stars and stellar parallaxes.;35.59708615;35.6;35 ° 36 '  East;35.3099959;35 ° 19 '  North;Nearside;North - East;Atlas crater South-East region;15;Atlas;311;;;;IV-074-H1;?;?;?;?;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;W of Crater Hall J;Small mare dome, in Lacus Somniorum;;;;Not described;3;Very interesting formation;5;5 days after New Moon;4 days after Full Moon;999;Not determined;Not determined;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME HALL K 1;TH3488N3495E;3488N3495E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Hall K n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer;U. S. A.;American;19;19 th century;Goshen;1829;Annapolis;1907;Comets and asteroid Specialist.  Discovers satellites of Mars Phobos and Deimos in 1877. Works on Hyperion double stars and stellar parallaxes.;34.9592372;34.96;34 ° 58 '  East;34.88980992;34 ° 53 '  North;Nearside;North - East;Atlas crater South-East region;15;Atlas;311;;;;IV-074-H1;5;5;3;3;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;SE of crater Hall K;Small mare dome, west of rima G, Bond I, in Lacus Somniorum;;;;Not described;3;Very interesting formation;5;5 days after New Moon;4 days after Full Moon;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME HALL K 2;TH3509N3497E;3509N3497E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Hall K n° 2;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer;U. S. A.;American;19;19 th century;Goshen;1829;Annapolis;1907;Comets and asteroid Specialist.  Discovers satellites of Mars Phobos and Deimos in 1877. Works on Hyperion double stars and stellar parallaxes.;34.97661998;34.98;34 ° 59 '  East;35.0996322;35 ° 6 '  North;Nearside;North - East;Atlas crater South-East region;15;Atlas;311;;;;IV-074-H1;3;3;1.8;1.8;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;SE of crater Hall K;Small mare dome, west of rima G, Bond I, in Lacus Somniorum;;;;Not described;3;Very interesting formation;5;5 days after New Moon;4 days after Full Moon;100;100 mm refractor;200 mm reflector;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME HALL Y 1;TH3629N3584E;3629N3584E;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Hall Y n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer;U. S. A.;American;19;19 th century;Goshen;1829;Annapolis;1907;Comets and asteroid Specialist.  Discovers satellites of Mars Phobos and Deimos in 1877. Works on Hyperion double stars and stellar parallaxes.;35.84913612;35.85;35 ° 51 '  East;36.29906309;36 ° 18 '  North;Nearside;North - East;Atlas crater South-East region;15;Atlas;311;;;;IV-074-H1;40;40;24.3;24.3;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;W of crater Hall Y;Hemispherical, mare dome, in Lacus Somniorum;;;;Not described;3;Very interesting formation;5;5 days after New Moon;4 days after Full Moon;30;10x binoculars;50 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME HARPALUS 1;TH4972N4664W;4972N4664W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Harpalus n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer;Greece;Greek;-5;5  th century BC;?;about 460 BC;?;?;??;-46.64429742;313.36;46 ° 39 '  West;49.72938986;49 ° 44 '  North;Nearside;North - West;Moon North-North-West limb;2;Pythagoras;405;15b7;040N 048N 055N 061N 067N 075N 205N 213N 225 N;;IV-152-H1 IV-158-H3 IV-164-H1 IV-163-H3;?;?;?;?;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;SW of crater Harpalus;In Sinus Roris;;;;Not described;3;Very interesting formation;11;4 days after First Quarter;3 days after Last Quarter;999;Not determined;Not determined;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME HELICON 1;TH4046N2412W;4046N2412W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Helicon n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer;Greece;Greek;-5;5  th century BC;Cyzique;450 BC;?;?;Disciple of Platon and Eudoxe.  Prediction of an eclipse of Sun.;-24.12862492;335.87;24 ° 8 '  West;40.46624852;40 ° 28 '  North;Nearside;North - West;North-West part of Mare Imbrium;10;Sinus Iridum;356;;024N 029N 036N 040N 191N 201N;;IV-139-H2 IV-134-H2;7;7;4.3;4.3;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;NW of crater Helicon;Mare dome in Mare Imbrium;;;;Not described;3;Very interesting formation;9;2 days after First Quarter;1 day after Last Quarter;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME HELICON 2;TH4076N2541W;4076N2541W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Helicon n° 2;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer;Greece;Greek;-5;5  th century BC;Cyzique;450 BC;?;?;Disciple of Platon and Eudoxe.  Prediction of an eclipse of Sun.;-25.41194174;334.59;25 ° 25 '  West;40.76817277;40 ° 46 '  North;Nearside;North - West;North-West part of Mare Imbrium;10;Sinus Iridum;356;;024N 029N 036N 040N 191N 201N;;IV-139-H2 IV-134-H2;?;?;?;?;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;NW of crater Helicon;Small;;;;Not described;3;Very interesting formation;9;2 days after First Quarter;1 day after Last Quarter;999;Not determined;Not determined;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME HELICON 3;TH4168N2477W;4168N2477W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Helicon n° 3;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer;Greece;Greek;-5;5  th century BC;Cyzique;450 BC;?;?;Disciple of Platon and Eudoxe.  Prediction of an eclipse of Sun.;-24.77760647;335.22;24 ° 47 '  West;41.68232539;41 ° 41 '  North;Nearside;North - West;North-West part of Mare Imbrium;10;Sinus Iridum;356;;024N 029N 036N 040N 191N 201N;;IV-139-H2 IV-134-H2;7;7;4.3;4.3;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;W of crater Helicon;Mare dome in Mare Imbrium;;;;Not described;3;Very interesting formation;9;2 days after First Quarter;1 day after Last Quarter;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME HELICON 4;TH4206N2425W;4206N2425W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Helicon n° 4;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer;Greece;Greek;-5;5  th century BC;Cyzique;450 BC;?;?;Disciple of Platon and Eudoxe.  Prediction of an eclipse of Sun.;-24.25832148;335.74;24 ° 15 '  West;42.0670648;42 ° 4 '  North;Nearside;North - West;North-West part of Mare Imbrium;10;Sinus Iridum;356;;024N 029N 036N 040N 191N 201N;;IV-139-H2 IV-134-H2;5;8;3;4.9;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;NW of crater Helicon;Mare dome in Mare Imbrium;;;;Not described;3;Very interesting formation;9;2 days after First Quarter;1 day after Last Quarter;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME HELICON 5;TH4268N2374W;4268N2374W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Helicon n° 5;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer;Greece;Greek;-5;5  th century BC;Cyzique;450 BC;?;?;Disciple of Platon and Eudoxe.  Prediction of an eclipse of Sun.;-23.74627453;336.25;23 ° 45 '  West;42.68755299;42 ° 41 '  North;Nearside;North - West;North-West part of Mare Imbrium;10;Sinus Iridum;356;;024N 029N 036N 040N 191N 201N;;IV-139-H2 IV-134-H2;5;5;3;3;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N of crater Helicon;Low-profile, mare dome;;;;Not described;3;Very interesting formation;9;2 days after First Quarter;1 day after Last Quarter;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
DOME HELICON C 1;TH4046N2562W;4046N2562W;Registered feature;Dome;TH;Volcanic shield;Extrusive volcanism;N / A;N / A;N / A;Dome of Helicon C n° 1;ALPO 1976;Not IAU approved;Not named;Not named;Not named;Astronomer;Greece;Greek;-5;5  th century BC;Cyzique;450 BC;?;?;Disciple of Platon and Eudoxe.  Prediction of an eclipse of Sun.;-25.62289796;334.38;25 ° 37 '  West;40.46624852;40 ° 28 '  North;Nearside;North - West;North-West part of Mare Imbrium;10;Sinus Iridum;356;;024N 029N 036N 040N 191N 201N;;IV-139-H2 IV-134-H2;5;5;3;3;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;E of crater Helicon C;Not described;;;;Not described;3;Very interesting formation;9;2 days after First Quarter;1 day after Last Quarter;50;50 mm refractor;100 mm refractor;Not IAU registered;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;N / A;
